16968,16968,문학슬루,11,,"710,480USD ",,"6,400USD "
16969,16969,배다리질주,12,,"2,983,350USD ",,"36,889USD "
16970,16970,흥바라기,1,,"583,280USD ","41,800,000원", 
16971,16971,에이투제트,2,,"3,084,278USD ","485,085,000원", 
16972,16972,금아슈프림,3,,"1,503,825USD ",,"12,590USD "
16973,16973,타우러스,4,,"51,475USD ",,"2,720USD "
16974,16974,그린다르크,5,,"1,083,533USD ",,"36,223USD "
16975,16975,비평,6,,"51,475USD ",,"73,752USD "
16976,16976,시선집중,8,,"3,187,232USD ","198,273,000원", 
16977,16977,싱그러운타임,9,,"1,732,000USD ","306,736,000원", 
16978,16978,초토마,10,,"4,368,214USD ",,"4,100USD "
16979,16979,사람이라는별,11,,"1,570,380USD ",,"68,760USD "
16980,16980,멋진금성,12,,"1,810,805USD ","266,742,000원", 
16981,16981,찰리스타일,1,,"251,090USD ",,0
16982,16982,금자유,2,,"1,251,300USD ",,0
16983,16983,금아애자일,3,,"3,090,101USD ",,"3,750USD "
16984,16984,캣츠미라클,4,,"1,694,180USD ",,"4,970USD "
16985,16985,파노라마뷰,5,,"598,786USD ",, 
16986,16986,다이나믹커밍,6,,"794,855USD ",,"2,591USD "
16987,16987,고고비,7,,"1,146,340USD ",,"40,820USD "
16988,16988,문학킹,8,,"6,427,830USD ",,0
16989,16989,빅투더빅,9,,"1,065,147USD ",,"34,760USD "
16990,16990,오더파지빌리티스,10,,"1,284,949USD ",,"68,250USD "
16991,16991,문학보스,11,,"748,000USD ",,"29,982USD "
16992,16992,우정의향기,12,,"865,612USD ",,0
16993,16993,최강영천,1,,"1,037,810USD ",,"62,433USD "
16994,16994,제다이,2,,"1,037,810USD ","51,200,000원", 
16995,16995,슈퍼챔피언,3,,"1,810,805USD ",,"17,886USD "
16996,16996,서던맨,4,,"1,843,750USD ",,0
16997,16997,대형호재,5,,"3,084,278USD ",,"1,870USD "
16998,16998,러피언파크,6,,"1,503,825USD ",0원, 
16999,16999,봄날의기억,7,,"51,475USD ",,"39,370USD "
17000,17000,천지폭풍,8,,"396,254USD ",,0AUD 
17001,17001,레전드윈,9,,"583,280USD ","231,666,000원", 
17002,17002,더킹클래스,10,,"493,755USD ",,"128,210USD "
17005,17005,메니스피드,1,,"1,732,000USD ",,"1,605USD "
17006,17006,장산바다,2,,"583,280USD ","58,130,000원", 
17007,17007,황금해,3,,"493,755USD ",,"10,608USD "
17008,17008,라온터프맨,4,,"1,236,820USD ",,"22,590,000JPY "
17009,17009,사이먼퀸,5,,"274,382USD ","226,930,000원", 
17010,17010,로열스마티,6,,"1,083,533USD ",,"19,205USD "
17011,17011,더불어숲,7,,"210,553USD ","150,992,000원", 
17012,17012,새내스퍼트,8,,"1,732,000USD ",,0
17013,17013,브랜던,9,,"1,503,825USD ",, 
17014,17014,무도,10,,"254,672USD ",,"38,880USD "
17015,17015,파이팅히어로,11,,"742,640USD ",,"18,828USD "
17016,17016,주먹도끼,12,,"1,007,708USD ",,"1,605USD "
17017,17017,이스트제트,1,,"210,553USD ",,0
17018,17018,컴플리트스윕,2,,"274,382USD ","29,100,000원", 
17019,17019,야호스마트캣,3,,"568,086USD ","92,494,000원", 
17020,17020,페네트로,4,,"85,630,000JPY ",, 
17021,17021,문학쓰나미,5,,"1,146,340USD ",, 
17022,17022,울트라로켓,6,"261,878,000원", ,"54,978,000원", 
17023,17023,런닝스톰,7,,"1,810,805USD ",,"62,880USD "
17024,17024,명품축제,8,,"172,705,000JPY ","420,130,000원", 
17025,17025,울트라펀치,9,,"742,640USD ",,420USD 
17026,17026,골든게이트,10,,"456,410USD ","10,520,000원", 
