,Unnamed: 0,name,ranked,fw,fd,mw,md
8012,8012,문학타이거,7,,"1,146,340USD ",,"32,280USD "
8013,8013,토함산파워,8,,"163,133USD ","132,010,000원", 
8014,8014,천행,9,,"698,574USD ",,"11,670USD "
8015,8015,히비키,10,,"1,732,000USD ",,0
8016,8016,페더럴캣,1,,"172,705,000JPY ",,"10,948,000JPY "
8017,8017,킹오브선데이,2,,"172,705,000JPY ","132,600,000원", 
8018,8018,아르폰스,3,,"742,640USD ",,"51,158USD "
8019,8019,미사일캔디,4,,"944,900USD ",,"34,560USD "
8020,8020,탱크삭스,5,,"254,672USD ",,0
8021,8021,공주사랑,6,,"114,300USD ",, 
8022,8022,로열샬롬,7,,"339,984USD ","47,730,000원", 
8023,8023,원더풀팡팡,8,,"493,755USD ","248,896,000원", 
8024,8024,달리는에이스,9,,"568,086USD ","145,591,000원", 
8025,8025,블랙윙윙,10,,"3,187,232USD ","112,610,000원", 
8027,8027,솔개바람,1,,"494,895,000JPY ","163,560,000원", 
8028,8028,천세만세,2,,"1,570,380USD ",,"64,100USD "
8029,8029,바람의미소,3,,"51,475USD ",,"25,200USD "
8030,8030,에코퍼스트온,4,,"915,075USD ",,"106,693USD "
8031,8031,광폭주행,5,,"315,015USD ","71,085,000원",0
8032,8032,글로리번,6,,"1,570,380USD ","137,120,000원", 
8033,8033,금빛탄환,7,,"254,672USD ","28,170,000원", 
8034,8034,쿠카캣,8,,"1,503,825USD ",,"92,300AUD "
8035,8035,남쪽나라,9,,"494,895,000JPY ","188,186,000원", 
8036,8036,사려니킹,10,,"568,086USD ","80,558,000원", 
8037,8037,마하선더,11,,"114,300USD ","223,745,000원", 
8038,8038,큐피드초이스,12,,"1,694,180USD ",,760USD 
8039,8039,금로열,1,,"493,755USD ","41,484,000원", 
8040,8040,제주의흑선,3,,"568,086USD ","90,960,000원",0
8041,8041,스피드벨,4,,"205,617USD ",,"16,285USD "
8042,8042,하늘의스타,5,,"3,084,278USD ",,"12,350USD "
8043,8043,루미네스,6,"470,582,000원", ,"96,601,000원", 
8044,8044,천하형국,7,,"70,961,000JPY ","44,551,500원", 
8045,8045,해피스트,8,,"51,475USD ","40,536,000원", 
8046,8046,세명스톰,9,"470,582,000원", ,"42,600,000원", 
8047,8047,피케이전사,10,,"1,607,774USD ","39,446,000원", 
8048,8048,남손,11,,"4,156,389USD ","85,842,000원", 
8050,8050,타우러스,1,,"51,475USD ",,"2,720USD "
8051,8051,스마티아델,2,,"1,810,805USD ","72,204,000원", 
8052,8052,한양공주,3,,"1,503,825USD ",,0
8053,8053,스트롱캡틴,4,,"493,755USD ",,975AUD 
8054,8054,동작,5,,"1,810,805USD ",,"176,400USD "
8055,8055,맘마로마,6,,"1,083,533USD ","51,491,000원", 
8056,8056,검향,7,,"205,617USD ","208,609,000원", 
8057,8057,원더풀럭키,8,,"1,570,380USD ","296,100,000원", 
8058,8058,레이징엔젤,1,,"163,133USD ","98,521,000원", 
8059,8059,개나리송,2,,"274,382USD ",,"38,831USD "
8060,8060,마이호크,4,,"491,312USD ","116,080,000원", 
8061,8061,볼드샤이닝,5,,"480,001USD ","305,585,000원", 
8062,8062,금성황제,6,,"210,553USD ",,0USD 
8063,8063,글로벌퀸,7,,"396,254USD ","116,165,000원", 
8064,8064,서클댄서,8,,"835,142USD ","114,172,000원", 
8065,8065,무사,9,,"3,294,901USD ","87,390,000원", 
8066,8066,말라카스,10,,"1,732,000USD ","423,095,000원", 
8067,8067,마차부차,11,,"804,090USD ",,0
8069,8069,프리티조이,1,,"51,475USD ",,"140,985USD "
8070,8070,강한여전사,2,,"1,083,533USD ","154,395,000원", 
8071,8071,해피하와이,3,,"3,084,278USD ",,0AUD 
8072,8072,스피드플라잉,4,,"51,475USD ","109,230,000원", 
8073,8073,컴플리트쇼크,5,,"274,382USD ",,"27,362USD "
8074,8074,성파장,6,,"695,299USD ","177,011,000원", 
8075,8075,화려,7,,"1,810,805USD ","181,012,000원", 
8076,8076,맥스대로,8,"2,426,805,000원", ,"67,044,000원", 
8077,8077,골드브릿지,9,,"51,475USD ","47,338,000원", 
8078,8078,정동사랑,10,,"1,083,533USD ","127,238,000원", 
8079,8079,졸리로저,11,,"493,755USD ",,"9,600AUD "
8080,8080,고속주행,12,,"1,083,533USD ",,"88,898USD "
8081,8081,록라인,1,,"1,570,380USD ","134,698,000원", 
8082,8082,안양재규어,2,,"3,084,278USD ","132,220,000원", 
8083,8083,함양상림,3,,"51,475USD ","147,579,000원", 
8084,8084,세찬나리,4,,"493,755USD ",,"54,248USD "
8085,8085,스톰포스,5,,"1,732,000USD ","112,168,000원", 
8086,8086,럭키플랜,6,,"190,838USD ",,"15,860USD "
8087,8087,선샤인레이디,7,,"3,122,708USD ",,"16,000USD "
8088,8088,페넘브라,8,,"1,810,805USD ","247,760,000원", 
8089,8089,금상천하,9,,"70,961,000JPY ","41,162,000원", 
8090,8090,통일질주,10,,"612,935USD ","131,667,000원", 
8091,8091,이터널메모리,11,,"210,553USD ",,0USD 
8092,8092,아라록밴드,12,,"1,810,805USD ","138,609,000원", 
8093,8093,골드파크,1,,"2,054,434USD ",,"46,460USD "
8094,8094,퍼스트선더,2,,"114,300USD ","47,730,000원", 
8095,8095,신록,3,,"1,570,380USD ","278,352,000원", 
8096,8096,매드디바,4,,"568,086USD ","121,284,000원", 
8097,8097,아이언하트,5,,"1,083,533USD ",,"898,000JPY "
8098,8098,컬러즈드라고,6,,"51,475USD ",,0
8099,8099,밀키셰리,7,,"3,545,062USD ",,"3,850,000JPY "
8100,8100,초동무적,8,,0AUD ,,"34,426USD "
8101,8101,머니라인,9,,"1,570,380USD ","72,204,000원", 
8102,8102,해피뮤직,10,,"1,607,774USD ","62,256,000원","34,700USD "
8103,8103,엑설런트하이,11,,"1,570,380USD ",0원, 
8105,8105,인천스피드,1,,"742,640USD ",,"71,046USD "
8106,8106,함박미소,2,,"47,460AUD ",,"7,160USD "
8107,8107,블랙펀치,3,,"2,691,135USD ",,"167,680USD "
8108,8108,금성여왕,4,,"194,608USD ",,"132,336USD "
8109,8109,트윈제트,5,,"444,717USD ",,"28,498USD "
8110,8110,파노라마선,6,,"148,815USD ",, 
8111,8111,캡틴포스원,7,,"142,605USD ",,342USD 
8112,8112,옥룡,8,,"1,065,147USD ",,"36,370USD "
8113,8113,뭉치,9,"689,387,200원", ,"50,960,000원", 
8114,8114,위즈레이니어,10,,"2,533,910USD ",,"24,110USD "
8115,8115,글로벌조이,1,,"1,177,394USD ",,"1,725USD "
8116,8116,제이에스군주,2,,"866,428USD ",,"16,532USD "
8117,8117,선우럭키,3,,"2,612,516USD ",,"81,500EUR "
8118,8118,이글이글,4,,"33,840USD ",,"196,236USD "
8119,8119,로열훼이버,5,,"118,380USD ",,"4,929USD "
8120,8120,패션플레이어,7,,"583,280USD ",,"76,369USD "
8121,8121,세렌디피티야,8,,"296,731USD ",,"38,710USD "
