,name,ranked,fw,fd,mw,md
12501,옥룡,3.0,,"1,065,147USD ",,"36,370USD "
12502,문학스카이,4.0,,"633,076USD ",,"59,722USD "
12503,모닝타이거,5.0,,"2,281,645USD ",, 
12504,카일룸제왕,6.0,,"1,857,000USD ",,"43,148USD "
12505,디케이마루,7.0,,"3,090,101USD ",,125USD 
12506,금빛여왕,8.0,,"1,380,200USD ",,"10,658USD "
12507,어마무시,9.0,,"770,496USD ",, 
12508,에코빅터,10.0,,"794,855USD ",,"53,059USD "
12509,월드캡틴,11.0,,"2,690,600USD ",,"26,491USD "
12510,문학챔피언,12.0,,"794,855USD ",,0
12511,대군옥,1.0,,"494,895,000JPY ",,0
12512,굿센스,2.0,,"4,383,200USD ",,"34,970USD "
12513,와니케이,3.0,,"315,015USD ",,0
12514,천지폭풍,4.0,,"396,254USD ",,0AUD 
12515,두리,5.0,,"617,310USD ","55,287,000원", 
12516,원더풀스톰,6.0,,"1,732,000USD ",,"210,188USD "
12517,초강국,8.0,"2,426,805,000원", ,"183,655,000원", 
12518,광야불기둥,9.0,,"3,084,278USD ",,"8,764USD "
12519,킹리,10.0,,"172,705,000JPY ",,0
12520,아라시,11.0,,"416,475,000JPY ",,"184,605USD "
12521,올백,1.0,,"1,810,805USD ",,400CAD 
12522,장산플라이,2.0,,"51,475USD ",,"12,567USD "
12523,여걸비전,3.0,,"494,895,000JPY ","287,612,000원", 
12524,머니포켓,4.0,,"1,810,805USD ","548,953,000원", 
12525,투어브라더,5.0,,"163,133USD ","112,060,000원", 
12526,파티파워,6.0,,"51,814,000JPY ",,"8,278USD "
12527,마하승리,7.0,,"278,406USD ","78,368,000원", 
12528,카일룸여제,8.0,,"568,629,000JPY ","97,562,000원", 
12529,굴참나무숲,9.0,,"107,515USD ","140,481,000원", 
12530,수호,10.0,,"695,299USD ",,"14,615USD "
12531,루킹퍼스트,1.0,,"386,465USD ",,"81,585USD "
12532,이스트반,2.0,,"1,031,596USD ",,0
12533,풀부스터,3.0,,"1,694,180USD ",,0
12534,문학앙코르,4.0,,"738,843USD ",,"61,766USD "
12535,문학의전사,5.0,,"1,606,000USD ",,"190,402USD "
12536,멋진데,6.0,,"1,039,000USD ",,"48,670USD "
12537,신의열매,7.0,,"3,647,000USD ",,"7,980USD "
12538,탑플라잉,8.0,,"1,847,489USD ",, 
12539,천운동행,9.0,,"1,103,496USD ",,"21,243USD "
12540,위너챔프,10.0,,"1,851,803USD ",,"16,487USD "
12541,매직알리바바,11.0,,"492,430USD ",,"2,240EUR "
12542,아리안왕자,12.0,,"877,536USD ",,"133,950AUD "
12543,세명기상,1.0,,"205,617USD ","127,460,000원", 
12544,디터미네이션,2.0,,"51,475USD ",,"39,920USD "
12545,금아제니스,3.0,,"1,810,805USD ",,"43,100USD "
12546,초인볼트,4.0,,"1,732,000USD ",,0
12547,금아킹덤,5.0,,"8,387,500USD ",,"17,700USD "
12548,능력시대,6.0,,"114,300USD ","86,310,000원", 
12549,스피드청룡,7.0,,"1,732,000USD ","28,637,000원",0AUD 
12550,머니대륙,8.0,,"568,629,000JPY ","213,750,000원", 
12551,바람을그리다,9.0,"471,819,000원", ,,"103,630USD "
12552,베스트라인,10.0,,"205,617USD ","116,400,000원", 
12553,스트롱러너,11.0,,"416,475,000JPY ","39,730,000원", 
12554,농본대로,12.0,"1,225,505,000원", ,"198,155,000원", 
12555,원더풀플레저,1.0,,"617,310USD ",0원, 
12556,청담컬링,2.0,,"58,610USD ","11,500,000원", 
12557,최강파티,3.0,,"1,732,000USD ","716,613,000원","1,780USD "
12558,트루팀버,4.0,,"7,712,841USD ","296,100,000원", 
12559,천세만세,6.0,,"1,570,380USD ",,"64,100USD "
12560,곡마단,7.0,,"1,570,380USD ",,0
12561,스트롱퀸,8.0,,"51,475USD ",,"31,669USD "
12562,시선집중,9.0,,"3,187,232USD ","198,273,000원", 
12563,킹오브이글,10.0,,"172,705,000JPY ","511,520,000원", 
12564,강호제일,11.0,,"493,755USD ",,0
12565,베스트럭키,1.0,,"51,475USD ",,0
12566,정상여신,2.0,,"51,475USD ","413,351,000원", 
12567,킹오브룰즈,3.0,,"3,084,278USD ","306,052,000원", 
12568,두만강,4.0,,"396,254USD ",,0
12569,해피스트,5.0,,"51,475USD ","40,536,000원", 
12570,정상만세,6.0,,"493,755USD ","92,266,000원", 
12571,함양산삼,7.0,,"1,732,000USD ",,"41,280USD "
12572,행복스타,8.0,,"456,410USD ","75,012,000원", 
12573,더블골드,9.0,,"480,001USD ","192,055,000원", 
12574,델타케이,10.0,,"278,406USD ","80,230,000원", 
12575,초코캔디,1.0,,"1,146,340USD ",,780USD 
12576,흥복드림,2.0,,"1,878,013USD ",,"34,898USD "
12577,이겨주마,3.0,,"1,889,766USD ",,"24,815USD "
12578,서울탱크,4.0,,"1,484,829USD ",,"48,420USD "
12579,조우니가,6.0,,"3,044,000USD ",,"20,996USD "
12580,골드마운틴,7.0,,"2,323,040USD ",,"243,890USD "
12581,선더블레이드,8.0,,"1,182,992USD ",,"19,920USD "
