,Unnamed: 0,순위,마번,중복제거마명,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
202,6,7,4,,클린업보드,미,수,5세,54,80,박현우,김동균,♠씨유네트워크,코,528(5),10.4,3.5,망사눈
203,7,8,1,,클린업시크릿,한,수,5세,54,88,김용근,송문길,♠씨유네트워크,1¾,492(6),10.4,3.5,망사
204,8,9,12,,명품축제,한,수,4세,54,87,방춘식,김점오,박양호,코,520(2),10.4,3.5,"계란형큰, 망사, 혀끈"
205,9,10,9,,구통사,한,거,6세,54,105,박병윤,전승규,소태영,5,480(12),10.4,3.5,"자극판, 양털코, 승인편자"
206,10,11,11,,클리어검,한,암,4세,53,82,조한별,김순근,♠조창석,¾,476(0),10.4,3.5,
207,11,12,8,,야호스트롱캣,한,수,5세,54,81,조상범,조현수,이태식,66,513(13),10.4,3.5,눈가면
208,12,,10,,티즈플랜,미,수,5세,59,134,빅투아르,박재우,♠권경자,출전취소,0(0),----,----,
0,0,1,9,,알찬누리,한,거,3세,56,,장추열,정호익,♠김광명,,489(9),11.2,3.7,"계란형큰+, 망사눈"
1,1,2,7,,농본락,한,암,3세,54,,김효정,배대선,♠김용래,½,427(4),11.2,3.7,망사
2,2,3,3,,플라잉카라,한,거,2세,55,,박을운,심승태,♠김형순,1,451(0),11.2,3.7,"계란형큰, 망사"
3,3,4,1,,선더윈드,한,수,3세,56,,빅투아르,리카디,♠조건진,¾,533(4),11.2,3.7,
4,4,5,13,,금아플로러스,한,수,3세,56,,안토니오,이신영,♠금아산업(주),4,530(40),11.2,3.7,
5,5,6,2,,불화산,한,수,2세,55,,이현종,이관호,♠황은호,2½,467(22),11.2,3.7,망사
6,6,7,14,,블랙루키,한,암,2세,53,,김용근,강성오,이용대,3,461(6),11.2,3.7,망사눈+
7,7,8,4,,대승가온,한,암,3세,53,,(-1)문성혁,서인석,문석현,½,462(30),11.2,3.7,
8,8,9,10,,해피나이스,한,암,3세,54,,하정훈,유재길,김영표,1¼,440(-13),11.2,3.7,망사
9,9,10,11,,피엔에스니드,한,암,3세,54,,박병윤,조현수,♠피엔에스커튼월,1½,455(-10),11.2,3.7,망사눈
10,10,11,12,,새내폭주,한,거,3세,56,,신형철,홍대유,♠문금철,1¼,470(22),11.2,3.7,
11,11,12,8,,소중한당신,한,암,2세,53,,조재로,배휴준,♠이성님,1¼,473(-7),11.2,3.7,망사+
12,12,13,6,,미스스피드,한,암,2세,53,,우에다,김동철,♠김명식,3,455(15),11.2,3.7,
13,13,14,5,,파워빅씨,한,암,2세,53,,조한별,박희철,윤훈열,21,444(10),11.2,3.7,"계란형큰,망사눈+,망사-"
14,0,1,11,,금빛여전사,한,암,2세,50,,(-4)김아현,전승규,♠장석은,,434(3),11.2,3.7,"망사눈, Triabit"
15,1,2,9,,에너자이저,한,수,2세,55,,빅투아르,최봉주,♠박재홍,1,476(0),11.2,3.7,
16,2,3,10,,화이트윙,한,암,2세,53,,이현종,이신영,구리야마 타다시,7,482(-3),11.2,3.7,
17,3,4,2,,골드스파이크,한,암,2세,53,,김용근,송문길,박복용,¾,488(-1),11.2,3.7,망사
18,4,5,13,,고어헤드,한,암,3세,54,,박현우,서정하,♠오종택,2½,483(25),11.2,3.7,반가지큰
19,5,6,7,,리턴밸리브리,한,수,2세,55,,신형철,홍대유,김인호,½,507(11),11.2,3.7,
