,Unnamed: 0,순위,마번,중복제거마명,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
94,3,4,8,플라이스타,빅이어,한,암,4세,56,64,송재철,송문길,♠최몽주,2,519(4),2.8,1.4,
95,4,5,9,함평나비,위닝윈,한,수,4세,51,51,김동수,김점오,♠금악목장,코,518(-4),13.2,3.1,"망사눈, 혀끈"
96,5,6,2,송암베스트,초동레이스,한,거,5세,*52,51,다비드,최영주,♠손병현,목,461(-5),75.8,14.8,"자극판, 망사눈"
97,6,7,4,메니에이스,흥오름,한,암,3세,*52,52,유승완,정호익,♠고광숙,1,478(3),3.8,1.7,망사눈
98,7,8,11,머스탱참,웰빙조이,한,거,5세,52,53,먼로,최영주,윤훈열,½,461(-1),12.1,2.8,
99,8,9,10,비밀상자,무사,한,수,4세,52.5,54,김용근,이관호,♠황은호,1¾,501(-4),13.2,3.7,"망사눈, 혀끈"
100,9,10,5,피엔에스싱,고스트타운,한,수,5세,51,51,이동하,임봉춘,피닉스,2,464(-6),39.4,6.3,망사
101,10,11,1,에클레어더원,세라킹,한,거,7세,53.5,56,부민호,김윤섭,김찬영,1½,475(-5),41.1,6.8,망사
102,0,1,3,엠제이타임,울트라펀치,미,거,3세,51,67,(-1)조상범,안병기,♠조명식,,483(-1),3.2,1.4,"계란형큰, 망사눈"
103,1,2,7,터프여제,장산와일드,한,거,4세,54,74,김용근,강환민,♠김병진,1¼,510(-3),3.7,1.5,"계란형큰, 망사"
104,2,3,5,송암누리,야호스트롱캣,한,수,4세,53.5,79,(-3)김덕현,박재우,이태식,2½,498(-13),3.4,1.5,눈가면
105,3,4,6,[부]월드데이,브이칸,미,수,5세,*52,69,김귀배,이희영,홍기석,1½,440(0),18.7,3.3,
106,4,5,4,천블릿,프리마퀸,한,암,5세,54.5,78,이철경,서인석,천병득,1½,448(0),5.7,1.6,"계란형큰, 눈가면"
107,5,6,1,천적캣,킹플러키,한,거,6세,*52,64,빅투아르,배휴준,양현모,머리,525(0),14.4,3.1,"계란형큰, 눈가면"
108,6,7,2,논스톱데릭,골든게이트,한,거,5세,53.5,73,이동하,우창구,이보원,1¾,480(3),19.3,3.3,망사
109,7,8,8,퍼플스톰,슈퍼캡틴,한,거,5세,*52,66,김정준,김동균,김은갑,¾,483(-5),55.7,7.9,"계란형큰, 망사눈"
0,0,1,6,블랙버미,롤러블레이드,한,수,2세,54,,다나카,강환민,♠김형란,,475(5),6.7,1.5,계란형큰
1,1,2,5,타이거존,탁트인,한,암,2세,52,,이동하,지용철,♠김광명,2,480(-4),2.1,1.1,
2,2,3,11,푸른나래,케이엔로드,한,수,2세,54,,김용근,박대흥,♠조경수,5,474(-5),2.7,1.2,망사눈+
3,3,4,7,리저브드존,럭키법전,한,수,2세,54,,송재철,박재우,최기영,2,464(-7),14.6,3.2,
4,4,5,9,크레이지산타,금아콜로설,한,수,2세,54,,안토니오,이신영,♠금아산업(주),5,478(-5),10,2.4,
5,5,6,3,하늘아,강호제일,한,수,2세,51,,(-3)문성혁,서인석,홍상기,½,530(8),168.1,10.7,
6,6,7,8,피엔에스안,봄날의기억,한,수,2세,54,,정정희,안병기,♠우태율,3,490(12),123.4,12.5,망사
7,7,8,1,아치게이트,백학,한,암,2세,52,,마누엘,서인석,♠씨유네트워크,1¼,465(9),201.9,15.6,"계란형큰+, 망사눈"
8,8,9,12,컴플리트웨펀,장수나봄,한,수,2세,54,,이현종,박재우,서동해,목,437(-12),26.1,4.9,망사눈+
9,9,10,2,정문질주,스페셜어게인,한,암,2세,52,,박태종,곽영효,♠이미경,1¾,458(0),111.5,13.1,
10,10,11,4,상상질주,당대짱,한,암,2세,51,,(-1)김효정,안해양,조성옥,7,483(-7),225.4,37.3,망사눈+
11,11,,10,탱자,페더럴킹,한,수,2세,54,,라이언,지용철,♠금악목장,출전제외,504(1),----,----,"망사눈, Triabit"
12,0,1,11,위즈업,대한챔프,한,수,3세,56,,신형철,서정하,대한사료,,469(-15),7.3,2,망사눈
13,1,2,1,그레이트매직,마하천하,한,암,4세,54,,다나카,강환민,장철환,4,509(6),10,1.9,계란형큰
14,2,3,6,팀임팩트,내길의빛,한,거,4세,56,,하정훈,홍대유,유종국,1½,456(4),4.3,1.5,계란형큰
15,3,4,9,송암아치걸,사우스반,한,암,3세,54,,다비드,서범석,♠임종근,3,430(-5),50.9,11.7,
16,4,5,7,엔비전사,블루밴드,한,암,3세,54,,이현종,이신영,♠정영식,½,446(-12),2,1.2,망사눈
17,5,6,10,나올킹,퍼펙트플라잉,한,암,3세,54,,마누엘,안해양,최종환,4,466(-11),77.9,10.2,"계란형큰+, 망사,반가지큰-"
18,6,7,2,매직신화,제이엔리,한,거,3세,56,,이동국,김학수,♠이혜란,½,409(-3),31.6,6,"망사눈, D형구리"
19,7,8,3,거센강자,호크의영광,한,수,3세,56,,안토니오,최봉주,♠오종환,4,483(-1),6.3,1.7,"계란형큰, 망사눈"
20,8,9,5,신한특송,아라시,한,거,3세,55,,(-1)조상범,김동철,♠김광명,1,459(-15),26.1,4.4,"반가지큰, 망사눈"
21,9,10,4,태산아치,웅담포,한,수,4세,56,,이동하,우창구,안영환,5,546(-4),71.3,20.1,
22,10,,8,미스클레버,퀸스트리트,한,암,4세,54,,김정준,최영주,♠손병현,출전취소,0(0),----,----,
23,0,1,2,그린드래건,허쉬대보,한,수,3세,56,,문세영,전승규,♠박철근,,500(-7),3.5,1.2,"망사, Triabit"
24,1,2,5,마이티앤,이글아이,한,암,3세,54,,김용근,이신영,♠(주)나스카,6,455(-10),6.7,1.7,망사
25,2,3,4,어나더레벨,스마트군황,한,수,3세,56,,박을운,배휴준,♠김태성,1¾,535(10),1.9,1.1,"계란형큰, 눈가면"
26,3,4,8,글로벌캐슬,크레이지퀸,한,암,3세,51,,(-3)문성혁,서인석,♠서창식,2,513(10),6.7,2,"계란형큰,망사눈+"
27,4,5,7,새벽밴드,배다리서미트,한,수,3세,56,,송재철,홍대유,♠송한우,7,506(6),16.7,2.7,
28,5,6,1,내길의별,함양상림,한,암,3세,54,,다나카,신삼영,유영준,½,464(-3),62.1,10.5,망사
29,6,7,6,베를린스타,대군사랑,한,암,3세,54,,최원준,손영표,♠표종순,3,449(0),101.2,12.6,망사
30,7,8,3,스타레이서,컬러즈드라고,한,암,3세,53,,(-1)조상범,구자흥,♠(주)자성실업,3,486(13),20,2.9,양털코
31,0,1,3,함평에이스,원더풀딕시,한,수,3세,51.5,38,이현종,박대흥,♠지대섭,,509(-5),2.1,1.2,
32,1,2,11,티즈석세스,더프리마,한,암,4세,51,37,이철경,서인석,천병득,1¾,478(8),24.1,4.8,"계란형큰, 망사눈"
33,2,3,2,멋진아치,그린케이,한,암,4세,56,50,박태종,홍대유,♠김재영b,3,483(-2),13.4,2.9,망사눈
34,3,4,9,동트자웨이,갈잎,한,암,3세,*52,37,문세영,심승태,♠(주)디알엠씨티,머리,466(-4),6.2,1.6,"반가지큰, 눈가면"
35,4,5,4,,라온윌리엄스,한,암,3세,51,37,정정희,안병기,♠라온산업개발(주),4,453(1),6.2,2.1,망사
36,5,6,6,,큐피드닥터,한,암,5세,52.5,43,이강서,유재길,♠서순배,목,474(4),18.6,4.3,
37,6,7,10,,언디피티드,한,수,4세,54,43,이동하,우창구,유길상,½,445(-6),17.4,3.4,
38,7,8,5,,제주의바람,한,암,4세,54.5,47,다나카,최봉주,♠미즈타니 마사테루,2,456(-11),26,9.3,"계란형큰, 망사"
39,8,9,8,,골든스텝,한,거,5세,56,47,마누엘,최용구,송용만,2½,474(-3),27.8,5.5,"반가지큰, 망사눈, 혀끈"
40,9,10,1,,산토스,한,수,4세,*52,36,유승완,최용구,김창호,6,547(-8),8,2.8,
41,10,11,7,,창성럭키,한,수,4세,52,39,김용근,김순근,임흥호,72,437(-3),52.7,9.6,계란형큰
42,0,1,4,,빅토리킹,한,거,3세,52,31,(-3)문성혁,전승규,♠박덕희,,437(-1),3.1,1.3,"계란형큰, 망사"
43,1,2,9,,태풍아이즈,한,수,4세,53,33,(-3)김덕현,심승태,장철환,2½,525(-4),5.5,1.7,계란형큰
44,2,3,5,,블랙파티,한,암,3세,54,32,문세영,박대흥,♠정형철,½,481(-16),2.3,1.2,계란형큰
45,3,4,10,,큐피드플라잉,한,수,3세,54.5,30,방춘식,이희영,♠서순배,5,476(17),20.2,2.9,망사
46,4,5,6,,미스평촌,한,암,5세,51,26,이아나,서인석,안병렬,1,479(5),35.4,6,
47,5,6,3,,캐논슈터,미,암,3세,55.5,35,정평수,지용철,박시용,목,516(6),48,7,망사
48,6,7,7,,창성진주,한,암,6세,51,21,마누엘,서정하,배창환,2½,425(2),93.6,14.5,
49,7,8,2,,포제이케이,한,암,4세,51,26,정정희,김점오,♠강균호,½,437(11),112.7,13.3,망사눈
50,8,9,1,,큐피드스톰,한,수,4세,54.5,30,김정준,김윤섭,♠서순배,¾,455(13),65.1,8.9,눈가면
51,9,10,8,,모란동백,한,암,5세,52,28,윤영민,안해양,홍상기,13,431(7),112,37.3,
52,10,11,11,,미스터히어로,한,수,3세,55,31,김용근,유재길,♠김명식,4,503(2),6.4,1.7,
53,0,1,5,,요리조리,미,암,4세,52,40,박태종,곽영효,♠권경자,,501(1),3.8,1.5,"계란형큰, 망사눈"
54,1,2,8,,대군의검,미,수,3세,55.5,44,김용근,최용구,♠표종순,코,512(9),8.6,2.6,"망사눈, 혀끈"
55,2,3,7,,리워드하이,미,암,6세,56,48,하정훈,임봉춘,김종철,1¼,517(4),38.6,5.5,"망사, 반가지큰"
56,3,4,3,,달려라레오,호,암,6세,53.5,45,(-1)김효정,배대선,♠서창식,1¾,487(-3),13.7,3.4,망사
57,4,5,9,,릴패트론,미,거,3세,55.5,44,이철경,서인석,♠고재완,1¾,477(-4),3.5,1.3,"계란형큰, 눈가면"
58,5,6,6,,문학의전사,미,수,3세,53,39,임기원,박재우,세계건설(주),1½,525(-1),2.8,1.3,"망사눈+,망사-,반가지큰-"
59,6,7,2,,본능대로,미,거,3세,52,37,신형철,이희영,이창모,5,496(1),22.9,4.1,망사눈
60,7,8,1,,위즈레이나,미,암,4세,55.5,47,박병윤,조현수,♠최몽주,4,485(1),16.9,3.5,"반가지큰, 망사눈"
61,8,9,4,,청수여제,미,암,3세,51,37,(-1)이동진,박대흥,♠청수,4,472(-6),48.8,6.9,"계란형큰, 망사"
62,0,1,1,,메인이벤트,한,수,4세,56,30,다비드,배대선,♠박웅진,,484(-5),27.8,8.7,망사
63,1,2,5,,명진맨,한,거,4세,57,35,이현종,박대흥,♠(주)자성실업,¾,444(-2),4.2,1.5,"계란형큰, 망사눈, 혀끈"
64,2,3,7,,라이즈앤샤인,한,암,4세,55,35,김동수,조현수,권영규,목,484(3),12.8,3.4,
65,3,4,3,,세렌체,한,수,5세,57,35,이동하,강성오,♠요시다 가츠미,2½,531(16),6,2.1,눈가면
66,4,5,8,,금아슈프림,한,수,3세,56,31,임기원,박천서,♠금아산업(주),1¼,476(5),4,1.8,"반가지큰, 망사눈"
67,5,6,9,,아델의꿈,한,수,4세,56,30,유승완,송문길,♠이종훈,½,462(-1),31.1,7.1,"계란형큰, 망사"
68,6,7,6,,금빛탄환,한,수,3세,54,26,송재철,이관호,♠박재범,½,485(1),19.4,4.6,"계란형큰, 망사눈"
69,7,8,10,,블랙윙윙,한,암,3세,54,30,문세영,심승태,♠김지훈,1,493(-9),4.6,2.2,"계란형큰, 망사, 혀끈"
70,8,9,2,,과천히어로,한,거,4세,55,29,신형철,이희영,박충범,1,463(-2),8.6,2.1,망사눈
71,9,10,4,,올포비투비,미,거,5세,56,32,마누엘,조현수,이태식,5,487(1),108.9,23.2,"계란형큰, 망사눈, 승인편자"
72,10,11,12,,상비군,한,거,6세,57,34,문정균,최상식,지성한,½,471(-1),25.2,4.5,
73,11,12,11,,레이즈미업,한,암,4세,52,24,이해동,지용철,♠김선식,11,513(6),71.7,15,"망사눈, Triabit"
74,0,1,5,,박차오름,한,암,3세,55.5,65,유승완,정호익,최종환,,458(-2),3.2,1.3,
75,1,2,2,,크레이지위키,호,수,4세,55.5,64,(-1)김효정,배대선,♠서창식,¾,487(-10),3.4,1.4,망사
76,2,3,6,,플라잉보스,미,수,4세,51,54,(-1)조상범,강환민,♠김형순,머리,473(-3),39.8,8.1,망사눈
77,3,4,3,,매치캡틴,미,수,3세,51,52,이철경,서인석,♠고재완,½,462(-6),22.8,3.4,"계란형큰, 눈가면"
78,4,5,7,,엉클오,미,수,3세,54.5,60,안토니오,이신영,♠오종택,목,447(-4),3,1.4,망사
79,5,6,4,,와일드파이트,미,거,3세,52.5,56,다비드,신삼영,유영준,1¼,460(0),9.4,2.3,"계란형큰, 망사눈"
80,6,7,8,,강촌의별,한,암,4세,51,52,문정균,김대근,최상섭,¾,466(4),11.4,2.5,
81,7,8,1,,골드호라,미,암,7세,*52,56,김동수,김순근,김종욱,6,487(3),47.6,5.8,망사
82,8,9,9,,올댓스피드,미,수,5세,52,55,이동하,안해양,임두인,1½,544(-1),38.5,5.4,
83,0,1,7,,태양의후예,미,거,5세,51,66,임기원,박재우,윤건구,,468(-5),12,2.4,망사눈
84,1,2,9,,플라잉뮤닝,미,거,4세,56.5,79,문세영,김순근,이장한,코,512(-5),1.8,1.1,
85,2,3,3,,클린업시크릿,한,수,4세,51.5,69,김용근,송문길,♠민형근,½,487(1),3.8,1.7,망사
86,3,4,2,,붕마드림,미,거,6세,51,68,김동수,박병일,♠한명로,4,474(-5),17.7,2.9,"계란형큰+, 망사눈"
87,4,5,6,,스모키베일,미,수,5세,51.5,69,마누엘,박윤규,♠박덕희,3,494(-3),47.7,6.3,"계란형큰, 망사눈"
88,5,6,8,,크레모아파워,한,거,4세,51,67,박태종,정호익,♠강석대,1¾,496(-4),16.7,3.4,"망사눈+,망사-"
89,6,7,4,,야호선샤인,한,수,7세,53.5,73,다나카,조현수,이태식,½,452(0),84.3,14.6,"계란형큰, 망사눈"
90,7,8,5,,정안킹덤,한,수,5세,54,74,안토니오,최봉주,조금제,5,459(1),22,3.6,눈가면
91,8,9,1,,블루울프,미,암,4세,54,77,유승완,임봉춘,♠(주)나스카,4,445(4),7.2,1.7,망사
92,9,10,10,,위대한전사,미,거,5세,53,72,이강서,유재길,곽승용,5,457(10),81.6,9.9,"계란형큰, 망사눈"
93,0,1,1,,구름왕자,한,수,3세,56,61,문세영,박윤규,박기태,,472(3),1.3,1.1,망사눈
94,1,2,4,,킹메신저,한,수,5세,54,56,김용근,박대흥,죽마조합,1½,511(0),30,4.2,계란형큰
95,2,3,9,,베스트라인,한,수,3세,53,52,신형철,홍대유,♠이진경,1½,494(-6),8.8,2.2,
96,3,4,3,,스타파워,한,거,5세,55,60,(-1)김효정,배대선,오공학,¾,531(4),10,1.8,
97,4,5,8,,아멘다,한,암,4세,54,60,박태종,정호익,♠김광명,1,432(2),17.1,2.2,망사눈
98,5,6,6,,가라가라가,한,수,4세,53,52,임기원,강환민,♠서창식,2½,450(-1),14.8,2.9,"계란형큰, 망사"
99,6,7,5,,주먹도끼,한,거,4세,53,51,마누엘,박병일,♠이관형,½,500(-10),16.5,3,계란형큰
100,7,8,2,,스트롱샤인,한,거,8세,53,52,김정준,박병일,박치문,1½,435(7),117.7,15.5,망사눈
101,8,9,7,,와일드드래곤,한,수,4세,55,59,송재철,박재우,유영준,7,485(-25),20.3,2.5,망사눈
0,0,1,4,,프리마니케,한,암,3세,51,,(-3)문성혁,서인석,천병득,,441(-12),1.8,1.2,"계란형큰, 망사눈"
1,1,2,2,,세라여제,한,암,4세,54,,이아나,전승규,김찬영,½,419(1),17.9,2.4,"계란형큰, 눈가면"
2,2,3,8,,슈퍼빅터,한,암,3세,54,,이동하,지용철,♠김선식,목,469(27),213.1,20.5,Triabit
3,3,4,9,,라온한니발,한,암,3세,54,,정정희,박종곤,♠라온산업개발(주),2,472(10),17.1,3.5,망사눈
4,4,5,7,,골드레벨,한,암,3세,54,,안토니오,서홍수,♠이미경,1¼,455(2),3.3,1.1,망사눈
5,5,6,5,,올마이퀸,한,암,3세,54,,방춘식,김동철,♠양순희,1¼,451(-4),87.8,10.9,"망사, 반가지큰"
6,6,7,1,,호크아리랑,한,암,3세,54,,박태종,최봉주,♠오호극,¾,456(-5),5.5,1.6,"계란형큰, 망사눈"
7,7,8,3,,레지나,한,암,3세,54,,김용근,안해양,신기철,2½,445(6),14,2.3,
8,8,9,6,,꼬꼬마레이디,한,암,3세,54,,하정훈,안해양,신기철,3,453(1),74.6,12.3,"계란형큰, 망사"
9,0,1,4,,탑뮤직,한,거,3세,55,,마누엘,서홍수,윤훈열,,474(2),5.7,1.7,"망사눈+,눈가면-"
10,1,2,3,,라온제왕,한,거,4세,56.5,,문세영,박종곤,♠라온산업개발(주),2½,478(0),2.6,1.4,"반가지큰, 망사눈"
11,2,3,9,,푸에르스페스,한,수,4세,55,,다비드,신삼영,♠베스트샤인조합,4,499(-1),32,5.8,망사눈-
12,3,4,5,,퍼스트선더,한,수,4세,55,,김정준,심승태,장철환,¾,492(-4),37.5,7.2,"망사, 반가지큰"
13,4,5,7,,라온스텔라,한,수,3세,55.5,,유승완,이신영,♠라온건설,1,498(-7),6.1,2.4,"계란형큰, 망사"
14,5,6,8,,그린파크,한,암,4세,53,,송재철,임봉춘,♠지대섭,1¾,466(10),15.7,3.4,망사
15,6,7,1,,베스트맨,한,거,4세,55,,라이언,박천서,윤훈현,5,461(-11),37.1,8.6,"망사눈, Triabit"
16,7,8,11,,천지기상,한,수,3세,55.5,,함완식,정호익,강세명,6,468(-1),8,1.9,"반가지큰, 망사눈"
17,8,9,2,,인천라이언,한,수,3세,55,,김용근,유재길,김재영a,¾,477(11),4.7,1.7,"계란형큰, 망사"
18,9,10,10,,행복의내일,한,암,3세,53,,신형철,구자흥,♠오종환,45,445(2),22.6,4.5,"반가지큰,망사눈+,양털코-"
19,10,,6,,신라대장군,한,거,3세,55,,다나카,임봉춘,♠류주영,출전제외,596(8),----,----,계란형큰
20,0,1,1,,스마티블루,한,수,4세,54,40,김용근,전승규,♠김용래,,515(-1),2.5,1.3,"망사눈, Triabit"
21,1,2,3,,관악함성,미,거,5세,54,40,안토니오,이관호,♠황의영,¾,460(4),14,2.6,"계란형큰, 망사눈"
22,2,3,7,,청담타이거,미,거,4세,57,49,라이언,서인석,♠김형란,½,478(-8),4.3,1.7,"망사눈,계란형큰-"
23,3,4,2,,와와여장부,한,암,5세,53,47,(-1)김효정,배휴준,곽희원,1¼,471(-1),39.1,8.9,"계란형큰, 망사"
24,4,5,9,,위즈레이니어,미,거,4세,53,37,이현종,송문길,♠최몽주,½,497(3),4.9,1.6,망사
25,5,6,5,,투게더허그,미,암,5세,54,47,이성재,김윤섭,♠김두식,4,475(5),44.1,6.2,망사
26,6,7,6,,웰빙스토리,한,수,6세,53,38,문세영,배휴준,♠이성재,2,492(9),8.5,1.8,"계란형큰, 눈가면"
27,7,8,4,,서울시대,미,수,3세,52,43,(-3)김덕현,김동균,♠이시환,2,449(7),6.2,2.8,
28,8,9,10,,승리나래,한,거,4세,52,36,(-1)이동진,김학수,강수덕,33,464(2),48.6,4.9,"계란형큰, 망사눈"
29,9,,8,,강철시대,한,수,6세,52,34,(-1)조한별,유재길,♠허건호,출전제외,466(9),----,----,
30,0,1,2,,금성여왕,미,암,4세,54,32,김귀배,손영표,♠조창규,,485(-3),8.6,2.3,망사눈
31,1,2,5,,엘초이스,한,암,4세,55,34,문세영,강환민,♠이종욱,½,484(-8),2.3,1.2,"반가지큰, 망사눈"
32,2,3,1,,파티파워,한,암,6세,54,32,부민호,박희철,조병해,2½,450(4),15.9,2.8,
33,3,4,10,,캠프터치,한,암,4세,54,32,임기원,곽영효,♠이월희,½,468(26),76.2,10.5,"계란형큰+, 망사눈"
34,4,5,7,,럭키소천,한,암,3세,52.5,35,(-3)김덕현,박재우,최기영,¾,478(5),3.1,1.5,
35,5,6,4,,풀문오션,한,암,3세,53,30,유승완,이신영,♠김선식,3,485(-1),6.9,1.8,망사눈-
36,6,7,6,,스카이점프,한,암,3세,53,30,다비드,사이먼,페가수스,4,408(4),31.4,6.9,Triabit
37,7,8,8,,베스트메이드,한,암,5세,53.5,31,하정훈,박천서,윤지중,½,447(-4),76.5,6.6,망사눈
38,8,9,11,,운명에폴링,한,암,3세,51.5,29,(-1)조상범,안병기,김제영,1¼,506(20),11.3,3.2,망사눈
39,9,10,3,,팝캣,한,암,4세,*52,26,다나카,김학수,♠(주)녹원목장,5,420(-2),85.7,18.5,"망사눈,혀끈+"
40,10,11,9,,스트롱큐피드,미,암,3세,53.5,31,문정균,박흥진,♠서순배,1½,471(-11),74.8,7.5,망사눈
41,0,1,11,,프라이빗맨,한,수,3세,52.5,26,이현종,배대선,♠김경민,,470(1),3.4,1.5,망사
42,1,2,3,,헤이드리머,한,거,3세,53.5,28,문세영,지용철,김종식,4,479(0),4.4,1.6,망사
43,2,3,10,,라오진,한,암,3세,55,34,하정훈,김동균,(주)삼건사,1,478(8),5.4,1.8,"계란형큰, 눈가면"
44,3,4,8,,논스톱플라잉,한,암,3세,52.5,29,방춘식,박흥진,♠태립,목,450(-6),21.2,4.5,망사눈
45,4,5,4,,와니케이,한,암,4세,54,32,신형철,유재길,♠김영완,1,441(0),25.6,5.6,망사
46,5,6,7,,플라잉헤라,한,암,4세,*52,26,김정준,심승태,♠김형순,목,459(11),98.1,20,"망사, Triabit"
47,6,7,12,,선더머니,한,거,4세,53.5,28,다나카,손영표,♠박성구,머리,452(-5),24.9,5.7,"반가지큰, 망사눈"
48,7,8,1,,에이스재퍼,미,거,5세,54,29,박태종,최봉주,♠우상우,¾,466(-3),14,3,"망사, Triabit"
49,8,9,2,,운주영웅,미,거,3세,53.5,30,(-1)이동진,구자흥,선용호,1¼,462(4),33.6,5.8,눈가면
50,9,10,5,,금빛열정,한,암,3세,51,31,(-3)문성혁,이관호,♠이경희,2,512(7),3.7,1.8,"망사, 반가지큰"
51,10,11,6,,엠제이파티,미,암,3세,54.5,33,박을운,김동균,류재욱,4,493(-6),107.5,14,
52,11,12,9,,사려니킹,한,거,6세,53,29,(-1)조상범,박희철,♠오영익,1¼,480(-5),37.6,7.1,"계란형큰, 망사눈,혀끈+"
53,0,1,7,,뉴패러다임,한,암,3세,52.5,29,문세영,배휴준,♠오상철,,505(15),2.7,1.3,"계란형큰, 망사눈"
54,1,2,8,,플라잉조이,한,수,4세,53.5,34,(-3)김덕현,심승태,♠김형순,10,467(3),7.2,1.7,"계란형큰, 망사눈"
55,2,3,12,,당대질주,한,암,3세,51,26,이동하,안해양,조성옥,1¼,461(6),39.5,4.3,망사눈
56,3,4,10,,골드페릴라,한,수,3세,52,31,(-3)문성혁,지용철,임수복,4,500(7),21.7,4.3,망사눈
57,4,5,2,,불사불패,한,암,5세,55.5,35,송재철,서범석,지원철,¾,425(10),68.7,7.6,망사눈
58,5,6,11,,머니샤프,한,수,4세,52.5,28,(-1)김효정,배대선,한광세,½,478(6),28.6,3.5,망사눈
59,6,7,9,,음악대장,한,수,5세,56.5,34,함완식,유재길,김병우,1,467(14),38.8,4.8,
60,7,8,1,,지서니,한,암,4세,54,32,정정희,임봉춘,장세창,½,511(-11),107.3,10.2,"반가지큰, 망사눈"
61,8,9,3,,수제비,한,거,4세,52,25,하정훈,김순근,김순주,1¾,478(-3),155,19.9,망사눈
62,9,,4,,아이엠위너,한,암,4세,51,23,황종우,박흥진,오왕근,주행중지,454(2),141.5,16.3,망사눈
63,10,,5,,오케이탑,한,수,3세,55,31,김용근,송문길,박복용,주행중지,531(-6),1.9,1.1,망사
64,11,,6,,굿초이스,한,수,4세,53.5,28,라이언,이관호,♠박남성,주행중지,523(-3),22.4,4.9,"계란형큰, 망사눈"
65,0,1,8,,흑전사,한,수,3세,56,45,김동수,김동균,♠김창희,,499(5),1.7,1,망사눈
66,1,2,7,,델타케이,한,거,5세,54.5,42,함완식,김점오,♠강균호,4,505(3),15.4,3.2,"망사눈,Triabit-"
67,2,3,3,,남손,한,거,4세,53.5,40,이현종,박천서,이동일,1,509(-4),6.7,1.8,
68,3,4,4,,베스트에버,한,수,4세,55,43,임기원,박종곤,♠김정철,목,488(5),5.8,1.7,망사눈
69,4,5,1,,대성루비,한,암,5세,52,40,김정준,최영주,김창국,5,479(0),44.8,7,
70,5,6,2,,로열복순이,한,암,4세,*52,36,마누엘,박병일,이장호,목,452(-3),70.8,11.7,망사눈
71,6,7,10,,피오레,한,암,4세,51,36,정평수,지용철,♠최성룡,½,466(-7),68.2,8.9,망사
72,7,8,12,,파이어볼,한,거,5세,55,43,다나카,임봉춘,피닉스,1,461(-2),92.6,13.9,망사눈
73,8,9,9,,루카스,한,암,3세,54,44,유승완,정호익,♠강석대,½,480(5),15.2,3.4,"망사눈, 혀끈"
74,9,10,11,,그린다르크,한,암,3세,51,38,박태종,홍대유,♠김재영b,¾,471(2),8.8,2,망사눈+
75,10,11,6,,맘껏달려,한,거,5세,52.5,38,이철경,서인석,이일구,1¾,487(-13),104.8,18.6,"계란형큰, 망사눈"
76,11,12,5,,하늘의스타,한,거,5세,54.5,44,(-1)이동진,최봉주,♠미즈타니 마사테루,4,476(-5),83.8,13.7,"계란형큰, 망사눈"
77,0,1,6,,문학쓰나미,미,수,3세,52.5,57,안토니오,정호익,♠권경자,,497(0),5.3,2,눈가면
78,1,2,5,,말리부진저,미,거,4세,53.5,59,유승완,이신영,♠정영식,1¼,481(2),4.8,1.9,망사눈
79,2,3,11,,블루마스타,미,암,3세,51,55,문정균,김대근,♠최병욱,½,427(5),10.3,2.6,
80,3,4,9,,적벽신화,미,거,4세,54,62,(-1)조한별,조현수,이창모,1,465(-3),9.6,2.2,"반가지큰, 망사눈"
81,4,5,3,,대군제패,미,수,3세,52.5,57,문세영,박병일,♠표종순,1,503(8),3.5,1.7,"망사눈, 승인편자"
82,5,6,4,,돌아온날리,미,수,5세,*52,55,신형철,신삼영,♠태희종합건설,2,502(-2),23.4,5,
83,6,7,8,,번개라이언,미,수,6세,51,51,다비드,서정하,변영남,2½,482(0),41.9,14.2,
84,7,8,1,,머니블레이드,미,거,4세,53,64,(-3)김덕현,임봉춘,♠김형란,½,466(5),9.7,3.2,"계란형큰, 망사눈"
85,8,9,2,,미스터터너,미,거,4세,53,58,이철경,김점오,♠이선호,1,470(-1),37.6,6.8,"망사눈, 혀끈"
86,9,10,10,,금노아,미,수,5세,52.5,57,김용근,신삼영,♠배태곤,목,495(6),16.4,4.3,
87,10,11,7,,남촌아티스트,미,수,4세,53.5,61,(-1)이동진,박대흥,남승현,½,499(2),74.5,15.9,"계란형큰, 망사, 혀끈"
88,11,12,12,,몬테비데오,미,수,4세,51,51,김동수,최용구,♠표종순,5,540(-2),11,3.8,"혀끈, JR러깅, 눈가면"
89,0,1,9,,[부]록초이스,한,수,3세,57,49,임성실,강형곤,♠김준현,,549(3),21.6,5.1,"망사눈, Triabit"
90,1,2,8,,명품축제,한,수,3세,57,52,함완식,김점오,박양호,6,515(0),10,2.2,"계란형큰, 망사"
91,2,3,10,,[부]트루킹,한,수,3세,57,56,이효식,김남중,양호규,4,488(-6),26.6,5.9,망사+
92,3,4,5,,글로벌축제,한,수,3세,57,73,유승완,최상식,♠장재형,4,507(-5),4.5,1.5,망사눈
93,4,5,3,,[부]파워윈디,한,수,3세,57,52,최은경,김길중,♠허필도,1½,433(-1),19.6,2.9,"계란형큰, 망사"
94,5,6,2,,심장의고동,한,수,3세,57,46,이동하,지용철,♠오종환,목,513(2),6.9,2,계란형큰
95,6,7,7,,[부]트루밸러,한,수,3세,57,50,이성재,울즐리,♠이시돌협회,3,472(18),18.8,3.3,"망사눈, JR러깅"
