,Unnamed: 0,Unnamed: 0.1,순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황,말전적
1821,90,8,9.0,6,세렌디피티야,미,암,4세,51,36.0,(-4)김태희,안병기,♠우태율,2½,475(3),48.2,11.0,"계란형큰,망사눈",17(0/0/0)
1822,91,9,10.0,7,천사박,미,암,4세,52,35.0,김효정,배대선,♠(주)디알엠씨티,1¼,436(-2),91.9,19.1,망사눈,19(0/1/0)
1823,92,0,1.0,5,사려니퀸,한,암,4세,*52,40.0,진겸,구자흥,♠오영익,,465(3),9.4,2.6,망사눈,11(4/2/4)
1824,93,1,2.0,7,조이브라더,한,거,4세,52.5,38.0,다비드,리카디,♠이성인,2½,470(2),10.5,3.1,"계란형큰+,망사눈",15(3/3/2)
1825,94,2,3.0,10,천비성,한,수,3세,52,37.0,조인권,강환민,씨유네트워크,¾,467(-7),16.2,4.3,"계란형큰,망사",14(1/3/4)
1826,95,3,4.0,6,위너블루,한,거,4세,53,39.0,장추열,우창구,♠전영범,¾,490(0),10.3,2.7,"Triabit ,망사눈",21(3/3/3)
1827,96,4,5.0,9,울트라킹,한,거,3세,55.5,44.0,유승완,안병기,♠조명식,머리,486(1),3.4,1.6,망사눈,15(2/2/3)
1828,97,5,6.0,8,글로벌영웅,한,수,3세,52,37.0,김용근,최상식,♠장재형,¾,471(0),30.9,7.0,망사눈,14(2/1/2)
1829,98,6,7.0,3,파이어로드,한,수,3세,54,41.0,이현종,송문길,♠손병철,1½,500(-1),6.6,1.9,망사눈,10(3/1/1)
1830,99,7,8.0,2,머니실크,한,수,4세,54,41.0,박병윤,배대선,이광수a,2,483(3),31.9,6.8,망사눈,
1831,100,8,9.0,13,콘도르여왕,한,암,4세,*51,37.0,(-4)김아현,김점오,문창완,머리,485(-19),66.3,10.6,망사눈,10(2/1/0)
1832,101,9,10.0,1,파이팅나우,한,수,4세,52,37.0,박태종,박종곤,♠김정철,2,478(6),4.9,2.2,망사눈,
1833,102,10,11.0,4,마성질주,한,수,5세,*52,36.0,김귀배,서인석,천사들의 안장,4,486(-1),150.0,24.4,"계란형큰,양털코",15(2/2/1)
1834,103,11,12.0,11,정문볼트,한,수,4세,58,49.0,이혁,홍대유,♠김재영b,1,469(-12),7.7,2.8,망사눈,17(2/5/1)
1835,104,12,13.0,12,글로벌골드,한,거,4세,*52,36.0,김동수,최상식,♠장재형,1½,485(-4),91.4,40.0,망사눈,17(3/0/4)
1836,105,13,14.0,14,원더풀스톰,한,수,4세,*52,36.0,부민호,서범석,♠지대섭,7,476(-1),129.3,19.5,혀끈+,14(2/1/0)
1837,106,0,1.0,11,큐피드베이브,뉴,거,4세,55,40.0,김용근,신삼영,♠서순배,,475(-5),2.3,1.3,"계란형큰,망사-",14(1/2/3)
1838,107,1,2.0,6,티케파이어,한,수,4세,57,45.0,송재철,전승규,♠손병현,1½,509(-7),5.7,1.7,망사눈,18(4/2/1)
1839,108,2,3.0,3,천군,미,거,4세,55,40.0,장추열,이관호,♠황은호,2,461(2),6.2,2.0,"계란형큰,망사눈",15(1/1/1)
1840,109,3,4.0,9,싱그러운타임,한,암,5세,54,43.0,문정균,곽영효,♠조창석,5,490(2),5.2,1.5,망사눈,
1841,110,4,5.0,7,문학럭키,미,거,3세,56,43.0,박태종,박종곤,♠에스지이건설,2,439(1),7.3,2.4,,13(1/1/1)
1842,111,5,6.0,10,마이티윙,미,수,5세,58,50.0,김효정,서홍수,♠조병태,1½,461(-5),29.2,6.1,,33(2/3/1)
1843,112,6,7.0,1,투어링라니,미,수,3세,54,36.0,정평수,최용구,♠공이공팔,1¼,510(19),86.3,21.9,"망사눈,혀끈",
1844,113,7,8.0,5,언패럴렐드,한,수,4세,54,36.0,문성혁,최봉주,♠오종환,8,498(-1),20.9,5.0,계란형큰,10(2/0/0)
