name,ranked,fw,fd,mw,md
와와여장부,10,,"315,015USD ",,0
사과랑,11,,"456,410USD ","107,578,000원", 
대군파워,1,,"922,180USD ",,0AUD 
섬싱노바디노,2,,"274,382USD ",0원,0
클린업해피,3,,"1,101,924USD ",,"8,514USD "
최강마,4,,"51,475USD ","107,936,000원", 
킹오브선데이,5,,"172,705,000JPY ","132,600,000원", 
땡큐마더,6,,"1,732,000USD ","648,176,000원", 
챔프케이,7,,"114,300USD ","67,895,000원", 
천년의바람,8,,"274,382USD ","64,602,000원", 
교룡득수,10,,"1,810,805USD ","539,152,000원", 
라온패트릭,11,,"85,630,000JPY ",0원, 
황금럭키,1,,"1,031,596USD ",,"27,791USD "
메니스피드,2,,"1,732,000USD ",,"1,605USD "
에이스찬,3,,"664,982USD ",,280USD 
천년의고도,4,,"205,617USD ",,761USD 
신의열매,5,,"3,647,000USD ",,"7,980USD "
글로벌럭키,6,,"1,936,000USD ",,"24,749USD "
아메리칸포스원,7,,"794,855USD ",,"1,512USD "
선스타트,8,,"794,855USD ",,0
스마트스트롱,9,,"1,994,460USD ",,"34,350USD "
은어축제,10,,"2,283,402USD ",, 
빅토리고고,11,,"2,283,402USD ",,0
울트라로켓,1,"261,878,000원", ,"54,978,000원", 
장산카우보이,3,,"1,037,810USD ",,"46,200USD "
강토마,4,,"416,475,000JPY ","206,263,000원", 
우리,5,,"1,064,727USD ",,"47,602USD "
삼성불패,6,,"2,533,910USD ",,"64,840USD "
위너골드,7,,"424,460USD ",,"4,900USD "
다이아삭스,8,,"698,574USD ",,0USD 
상감마마,9,,"3,084,278USD ",,"61,640USD "
클린업특급,10,,"1,732,000USD ","219,695,000원", 
클리어검,11,,"205,617USD ","143,647,000원", 
스피돔,1,,"978,960USD ",,0
마이티뉴,2,,"1,092,410USD ",, 
파이널스타,3,,"4,383,200USD ",,0
말리부진저,4,,"33,840USD ",,"99,679USD "
춘산,5,,"562,000USD ",,"215,440USD "
큐피드미션,6,,"1,284,949USD ",,"92,583USD "
섬싱익스펙트,7,,"4,368,214USD ",,0
요리조리,8,,"1,037,810USD ",,0
금아어누이티,9,,"1,080,700USD ",,"260,052USD "
글로벌에이스,10,,"1,104,040USD ",,0
금자유,11,,"1,251,300USD ",,0
제다이,1,,"1,037,810USD ","51,200,000원", 
바잉블레이드,2,,"1,037,810USD ",,"175,695USD "
좋은사이,3,,"416,475,000JPY ","80,230,000원", 
리멤버웬,4,,"1,570,380USD ",,0
선더호스,5,,"416,475,000JPY ",, 
정문최강,6,,"583,280USD ",,0
에피파니,7,,"389,141USD ",,"5,000USD "
화이트트레인,8,,"583,280USD ","81,190,000원", 
서니케이,9,,"804,090USD ","152,718,000원", 
마하영웅,10,"1,861,967,000원", ,"252,629,000원", 
티케파이어,1,"1,087,822,000원", ,,"1,100USD "
파워뮤직,2,,"1,607,774USD ",,"127,695USD "
스루더스카이,3,,"695,299USD ","251,002,000원", 
러피언파크,4,,"1,503,825USD ",0원, 
선더윈드,5,,"114,300USD ","75,240,000원", 
어메이징퀸,6,,"254,672USD ",,"4,005USD "
신대로,7,"2,426,805,000원", ,"48,547,000원", 
거버넌스,8,,"1,083,533USD ",,0
스프링데이,9,,"172,705,000JPY ",,"11,250,000JPY "
로드힐스톰,10,,"416,475,000JPY ",0원, 
미사일감동,11,,"3,187,232USD ",,"17,760USD "
빅페이스,1,,"274,382USD ",,"16,290USD "
고속페달,2,,"804,090USD ",,"62,770USD "
글로벌왕자,3,,"51,475USD ",,"32,215USD "
클린업트리오,4,,"114,300USD ",,"84,205USD "
천세만세,5,,"1,570,380USD ",,"64,100USD "
호남대로,6,"728,298,000원", ,"137,420,000원", 
그레이킹덤,7,,"601,560USD ",,"85,886USD "
햇빛나,8,,"185,417USD ","157,894,000원", 
선샤인특급,9,,"1,083,533USD ",,330USD 
윈드리버,10,,"1,503,825USD ",,"1,100USD "
라피도볼트,11,,"804,090USD ","40,825,000원", 
아이스펀치,1,,"1,810,805USD ",,0
루이사,2,,"172,705,000JPY ","697,416,000원", 
우대륭,3,,"3,924,648USD ",,"176,880USD "
피오레,4,,"3,545,062USD ",,"10,420USD "
동작,5,,"1,810,805USD ",,"176,400USD "
정문볼트,6,,"1,810,805USD ",,"22,272USD "
스트롱벌처,7,,"416,475,000JPY ",,"251,959USD "
재롱이,8,,"4,156,389USD ","29,446,000원", 
제이콥,9,,"416,475,000JPY ",,"500,000JPY "
사이먼리치,10,,"274,382USD ",,0
라이언여제,11,"76,502,000원", ,,"20,390USD "
고업,1,,"254,672USD ",,0
급행마,2,,"1,810,805USD ",,"39,894CAD "
한센바로우즈,3,,"1,810,805USD ",,0
방탄마,4,"689,387,200원", ,"155,903,000원", 
정상만세,5,,"493,755USD ","92,266,000원", 
빅토리킹,6,,"2,580,402USD ",,"30,132CAD "
백스핀,7,,"568,086USD ",,"79,418USD "
큐피드데이트,8,,"3,084,278USD ",,"73,410USD "
라이즈앤샤인,9,,"3,545,062USD ","202,050,000원", 
럭키봉화,11,,"315,015USD ","169,115,000원", 
레전드데이,1,,"748,000USD ",, 
스프링킹,2,,"1,146,340USD ",, 
강남맨,3,,"748,000USD ",,0
대디코잔,4,,"49,200USD ",, 
그린와트,5,,"1,243,500USD ",,0
문학탭,6,,"972,632USD ",,"61,848USD "
장산럭키,7,,"794,855USD ",,"237,940USD "
와일드코리아,8,,"32,400USD ",, 
거미손,9,,"1,636,426USD ",,"4,767USD "
라이드머니,10,,"1,857,000USD ",,"8,470USD "
골드브릿지,1,,"51,475USD ","47,338,000원", 
메이세이드림,2,,"494,895,000JPY ",,"124,453USD "
달려라광산,3,,"274,382USD ",,0
위너템플러,4,,"393,200USD ",,"27,200,000JPY "
바디스타,5,,"612,935USD ",,"72,611USD "
위대한파이터,6,,"1,005,413USD ",,"14,600USD "
가즈아,7,,"1,083,533USD ","83,456,000원", 
당대질주,8,,"1,607,774USD ",,0
달려라속보,9,,"568,086USD ",, 
컬러즈드라고,10,,"51,475USD ",,0
패밀리파크,11,,"172,705,000JPY ",,"57,200USD "
마이티고,1,,"748,000USD ",,"5,930USD "
로드반,2,,"33,840USD ",, 
엉클오,3,,"811,760USD ",,623USD 
플래시제트,6,,"405,730USD ",,464USD 
와일드파이트,7,,"1,154,000USD ",,"1,401USD "
킹오브룰즈,8,,"3,084,278USD ","306,052,000원", 
금아애자일,9,,"3,090,101USD ",,"3,750USD "
청담타이거,10,,"831,335USD ",,"108,960USD "
엘란,11,,"1,503,825USD ",,"3,310USD "
흥바라기,1,,"583,280USD ","41,800,000원", 
화이트참,2,,"1,037,810USD ","115,705,000원", 
치프인디,3,,"1,103,496USD ",,"123,939CAD "
옥스퍼드킹,4,,"1,077,140USD ",,"21,540USD "
질주대로,5,"2,426,805,000원", ,"136,676,000원", 
블랙참,6,,"416,475,000JPY ","648,176,000원", 
황금파워,7,,"568,629,000JPY ","104,050,000원", 
그린짱,8,,"1,810,805USD ",,"544,019USD "
라온다이아,9,,"1,236,820USD ",,"22,590,000JPY "
울트라시대,10,,"1,103,496USD ",,"1,140USD "
청담위키드,11,,"1,732,000USD ",,"86,220USD "
사만다치타,12,,"389,141USD ",,"16,285USD "
크라운조이,13,,"1,607,774USD ","138,984,000원", 
포트스원,14,,"1,083,533USD ","30,450,000원", 
흥행질주,3,,"51,475USD ",,"1,580USD "
디터미네이션,4,,"51,475USD ",,"39,920USD "
롤러블레이드,5,,"804,090USD ",,"47,840USD "
컴플리트킹덤,6,,"51,475USD ",,"46,346USD "
럭셔리캡틴,8,,"1,607,774USD ","39,446,000원", 
에이투제트,11,,"3,084,278USD ","485,085,000원", 
원더풀마리아,2,,"416,475,000JPY ",,0
새내스퍼트,3,,"1,732,000USD ",,0
금아제니스,4,,"1,810,805USD ",,"43,100USD "
주먹도끼,5,,"1,007,708USD ",,"1,605USD "
업라이트,6,,"1,570,380USD ","123,912,000원", 
해들뫼,7,,"416,475,000JPY ",,"42,652USD "
금아킹덤,8,,"8,387,500USD ",,"17,700USD "
스피드이즈칸,9,,"315,015USD ",,"48,935USD "
기동대장,10,,"416,475,000JPY ",,"1,870USD "
패스트패션,11,,"51,475USD ",,"35,950USD "
큐피드가이,1,,"439,250USD ",,"78,614USD "
제주의하늘,2,,"163,133USD ","208,609,000원", 
라온스톰,3,,"1,810,805USD ","113,835,000원", 
선더마크,4,,"2,765,800USD ",,"4,860USD "
크레이지팩터,5,,"922,180USD ",,"109,500AUD "
프리마퀸,6,,"456,410USD ",,"37,768USD "
원더풀챔피언,7,,"767,288USD ",,"20,790USD "
구름왕자,8,,"583,280USD ",,"46,426USD "
박차오름,9,,"568,629,000JPY ",,"1,175GBP "
삼삼빅토리,10,,"385,807USD ",,"36,622USD "
한센글로리,11,,"1,810,805USD ",,"82,046USD "
퀸오브베스트,1,,"905,434USD ",0원, 
걸작우먼,2,,"1,236,820USD ","55,652,000원", 
대한질주,3,,"978,960USD ",,"76,130USD "
페더럴아이,4,,"172,705,000JPY ",,"510,000JPY "
서에번쩍,5,,"905,434USD ",,"60,638USD "
질풍백광,6,"817,614,000원", ,, 
스테디챔피언,7,,"254,672USD ","108,260,000원", 
비엔토,8,,"1,810,805USD ",,"120,470USD "
옥추마,9,,"804,090USD ",,"16,046USD "
특급여왕,10,,"568,086USD ","166,330,000원", 
엄청난걸,11,,"101,633USD ","66,230,000원", 
선더챔피언,12,,"114,300USD ","19,476,000원", 
천탑,13,,"1,732,000USD ","33,270,000원", 
정문스타,14,,"583,280USD ",,"128,210USD "
우소륭,1,,"1,037,810USD ",,"1,680USD "
대천얼짱,2,,"491,312USD ","46,740,000원",0
유정챔프,3,,"339,984USD ","9,200,000원", 
브라이트빅터,4,,"770,496USD ",,"7,200USD "
선더챔프,5,"180,943,000원", ,0원, 
통천대로,6,,"491,312USD ",,"135,412USD "
스팟플래터,7,,"1,037,810USD ",, 
라스트보스,8,,"1,103,496USD ","44,398,500원", 
유로아이,9,,"617,310USD ","140,950,000원", 
원더풀러커스,10,,"416,475,000JPY ",,"94,563CAD "
논스톱기상,11,,"1,103,496USD ","127,460,000원", 
위닝질주,12,,"416,475,000JPY ","52,734,000원", 
패밀리스타,13,,"3,000USD ","36,850,000원", 
그랜드캐슬,1,,"583,280USD ",0원, 
케이프렌지,2,,"1,732,000USD ",,"55,600USD "
명진데이,3,,"1,083,533USD ",,"117,578USD "
케이엔라이트,4,,"416,475,000JPY ","87,760,000원", 
빅포스원,5,,"695,299USD ",,"35,680USD "
엘리트파워,6,,"583,280USD ","156,911,000원", 
이스트매직,7,,"339,984USD ","182,976,000원", 
힐링공주,8,,"583,280USD ","215,540,000원", 
온포인트,9,,"996,330USD ",,"8,177USD "
어서와,10,,"1,037,810USD ",,0
진또배기,11,,"254,672USD ","215,440,000원", 
새내윈,12,,"583,280USD ",,0
아이언로즈,13,,"1,083,533USD ","668,010,000원", 
차밍붐,14,,"626,476USD ",,"101,478USD "
치프인디,1,,"1,103,496USD ",,"123,939CAD "
스타블레이드,2,,"804,090USD ","139,291,000원", 
조이풀케이,3,,"1,503,825USD ",,"62,422USD "
빅레드,4,,"3,084,278USD ",,0
그린폭주,5,,"583,280USD ","50,800,000원", 
글로벌영웅,6,,"1,103,496USD ",,"127,862USD "
한센프리마,7,,"1,810,805USD ","107,531,000원", 
선봉골드,8,,"480,001USD ","129,528,000원", 
세명나래,9,,"1,810,805USD ","26,945,000원", 
테이크하트,10,,"1,103,496USD ",,"159,951USD "
흑룡가무,11,,"1,037,810USD ",,"26,460USD "
배다리장군,12,,"1,103,496USD ","110,623,000원", 
베스트포스,13,,"1,083,533USD ",,"15,820USD "
상승행진,14,,"1,083,533USD ",0원, 
모스트스피드,1,,"172,705,000JPY ","105,693,000원", 
그레이캣,2,,"1,037,810USD ",,"20,390USD "
콜조이,3,,"1,779,012USD ","139,860,000원", 
누비고,4,,"416,475,000JPY ","270,345,000원", 
챔피언가문,5,,"254,672USD ","438,663,000원", 
브라보메이,6,,"568,629,000JPY ",,0
뉴호프,7,,"254,672USD ",,"38,876USD "
바잉블레이드,8,,"1,037,810USD ",,"175,695USD "
판타지퀸,9,,"1,083,533USD ",,"159,877USD "
케이블레이드,10,,"962,237USD ",,0
도원글로리,11,,"1,236,820USD ","109,495,000원", 
세명엠파이어,12,,"2,075,791USD ",,0
문학포리스트,13,,"339,984USD ","248,970,000원",0
울돌목영웅,14,,"612,935USD ","88,402,000원", 
탱크삭스,1,,"254,672USD ",,0
제다이,2,,"1,037,810USD ","51,200,000원", 
백산선더,3,,"114,300USD ",,"1,700AUD "
럭키클럽,4,,"274,382USD ","87,410,000원", 
와니케이,5,,"315,015USD ",,0
조이머니,6,,"1,236,820USD ","971,650,000원", 
피어나다,7,,"254,672USD ",,"133,355USD "
클린하트,8,,"2,088,853USD ",,"42,552USD "
섀도우퀸,9,,"1,570,380USD ","95,420,000원", 
럭키스마일,10,,"1,732,000USD ","122,692,000원", 
가나파크,11,,"612,935USD ",, 
러브위드미,12,,"1,083,533USD ","156,911,000원", 
더블블랙,13,,"583,280USD ","146,135,000원", 
조지퀸,1,,"1,236,820USD ",,"120,585USD "
청담컬링,2,,"58,610USD ","11,500,000원", 
드림머니,3,,"568,086USD ","231,487,000원", 
원앤온리,4,,"1,810,805USD ",,"11,100USD "
라온블러드,5,,"1,236,820USD ",,"7,000,000JPY "
베스트타임,6,,"377,241USD ",,0USD 
하이퍼카,7,"817,614,000원", ,"34,580,000원", 
바람의소리,8,,"1,182,992USD ",,0
새로운보배,9,,"315,015USD ",,"104,085USD "
골든제이,10,,"274,382USD ",,0
야호골든캣,11,,"3,084,278USD ","41,740,000원", 
클린업트리오,12,,"114,300USD ",,"84,205USD "
하루온,13,,"210,553USD ","106,041,000원", 
골드필드,14,,"339,984USD ",,"3,498USD "
티즈시티,1,,"254,672USD ",,"160,835USD "
페더럴캣,2,,"172,705,000JPY ",,"10,948,000JPY "
굿바우,3,,"491,312USD ",0원, 
날아라힐,4,,"51,475USD ",,616USD 
에이스캔트,5,,"516,977USD ",,"14,766USD "
왕탱이,6,,"1,607,774USD ","101,758,000원", 
비사연,7,,"274,382USD ",,0
샤이니파이어,9,,"1,380,200USD ",,"26,846USD "
인듀어런스,10,,"1,570,380USD ","140,176,000원", 
하늘을달리다,11,,"51,475USD ",,"17,358USD "
천강성,12,,"210,553USD ","269,786,000원", 
기븐위켄드,13,,"1,083,533USD ","162,170,000원", 
피렌체힐,14,,"493,755USD ","95,420,000원", 
에코빅터,1,,"794,855USD ",,"53,059USD "
장산골드,2,,"3,044,000USD ",,"83,550USD "
발베니,3,,"3,924,648USD ",,"139,300USD "
새내아이린,4,,"1,031,596USD ",,"101,942USD "
오클랜드삭스,5,,"952,600AUD ",, 
판타스틱,6,,"972,632USD ",,0
흥과기쁨,7,,"185,213USD ",,0
대마불사,8,,"769,964USD ",,"1,151,850USD "
문학럭키,9,,"3,312,950USD ",,"56,530USD "
환한미소,10,,"3,044,000USD ",,"17,460USD "
천군,11,,"3,044,000USD ",,280USD 
로렐챔프,12,,"1,177,394USD ",,"54,875USD "
톱플레이,13,,"3,044,000USD ",, 
거미손,14,,"1,636,426USD ",,"4,767USD "
킹즈스텝,1,,"1,606,000USD ",,"68,990AUD "
원더풀트루스,2,,"416,475,000JPY ","296,100,000원", 
톱브레인,3,,"1,606,000USD ",,"77,252USD "
위너브라운,4,,"158,713AUD ",,"165,311USD "
로드반,5,,"33,840USD ",, 
크레이지위키,6,,"572,927USD ",,0AUD 
예상백승,7,,"396,254USD ","77,332,000원", 
황금비상,8,,"10,501,800USD ",,"89,509USD "
삼삼빅토리,9,,"385,807USD ",,"36,622USD "
파크삭스,10,,"1,694,180USD ",,"47,717USD "
소중한만남,11,,"626,671USD ",,"4,134USD "
블루키톤,12,,"2,691,135USD ",,"7,962USD "
골드해머,13,,"1,019,550AUD ",,"1,525AUD "
서울의별,14,,"568,629,000JPY ","217,833,000원", 
글로벌삭스,1,,"742,640USD ",, 
로열엘비스,2,,"1,606,000USD ",,"41,637USD "
장산탱크,3,,"3,924,648USD ",,"33,410USD "
록의제왕,4,,"1,031,596USD ",,161USD 
제이에스군주,5,,"866,428USD ",,"16,532USD "
흥록대부,6,,"301,500USD ",, 
창성수호,7,,"1,313,155USD ",, 
바이킹스톰,8,,"1,046,381USD ",, 
문학리워드,9,,"1,064,727USD ",,"16,715USD "
브라보삭스,10,,"1,380,200USD ",,"37,412USD "
마하걸,11,,"4,157,865USD ",,0JPY 
가야영봉,12,,"2,274,073USD ",,"5,850AUD "
인동샘,13,,"3,647,000USD ",,"209,081USD "
퍼스트드림,14,,"915,075USD ",,"168,089USD "
원더풀플레저,1,,"617,310USD ",0원, 
킹칸모르,2,,"1,810,805USD ","94,103,000원", 
이스트챔프,3,,"1,503,825USD ","263,244,000원", 
코리안펄,4,"2,426,805,000원", ,"41,230,000원", 
캡틴브라보,5,,"1,146,340USD ",,0
당대로얄,6,,"578,302,000JPY ","20,583,000원", 
톱시드,7,,"2,054,434USD ",,0
경부도령,8,"2,426,805,000원", ,"177,860,000원", 
서던맨,9,,"1,843,750USD ",,0
싱싱장수,10,,"172,705,000JPY ","81,720,000원", 
가가나,11,"76,502,000원", ,"210,490,000원", 
나인아이,12,,"1,732,000USD ",,"13,507,000JPY "
티케파이어,13,"1,087,822,000원", ,,"1,100USD "
한센초이스,14,,"1,810,805USD ",,"116,148USD "
위시미,1,,"1,503,825USD ",,"90,330USD "
루이사,2,,"172,705,000JPY ","697,416,000원", 
정문볼트,3,,"1,810,805USD ",,"22,272USD "
사람이라는별,4,,"1,570,380USD ",,"68,760USD "
전정사금,5,,"254,672USD ",,"5,170USD "
자이언트걸,6,,"1,083,533USD ",,330USD 
스트롱퀸,7,,"51,475USD ",,"31,669USD "
피오레,8,,"3,545,062USD ",,"10,420USD "
티케이데이,9,,"1,236,820USD ","31,995,000원", 
골드브릿지,10,,"51,475USD ","47,338,000원", 
불의퀸,11,,"565,716USD ",,0
광폭주행,12,,"315,015USD ","71,085,000원",0
아이스펀치,1,,"1,810,805USD ",,0
고업,2,,"254,672USD ",,0
탁트인,3,,"1,810,805USD ",,"21,790CAD "
원더풀마리아,4,,"416,475,000JPY ",,0
케이톱킹,5,,"1,503,825USD ","462,480,000원", 
스피드흑룡,6,,"210,553USD ",,"4,005USD "
대디글로리,7,,"1,334,300USD ",,"5,939USD "
금아애크미,8,"728,298,000원", ,"103,000,000원", 
장산바다,9,,"583,280USD ","58,130,000원", 
라온칸,10,,"804,090USD ","55,656,000원", 
금아킹덤,11,,"8,387,500USD ",,"17,700USD "
능력시대,12,,"114,300USD ","86,310,000원", 
다이나믹펀치,13,,"3,044,000USD ",,0
청담제왕,1,,"3,090,101USD ",,0
브리가디어제너럴,2,,"557,300USD ",,"133,879USD "
삼성불패,4,,"2,533,910USD ",,"64,840USD "
스마티블루,6,,"1,570,380USD ",,0
클린업보드,7,,"1,575,600USD ",,800USD 
명품축제,9,,"172,705,000JPY ","420,130,000원", 
구통사,10,,"1,139,150USD ",,"70,245USD "
클리어검,11,,"205,617USD ","143,647,000원", 
야호스트롱캣,12,,"339,984USD ","46,880,000원", 
알찬누리,1,,"172,705,000JPY ",,"300,000JPY "
농본락,2,,"1,083,533USD ","137,240,000원", 
플라잉카라,3,,"1,967,099USD ",,0
선더윈드,4,,"114,300USD ","75,240,000원", 
금아플로러스,5,,"1,732,000USD ",,"31,605USD "
불화산,6,,"1,810,805USD ",,0
블랙루키,7,,"583,280USD ",,"18,828USD "
대승가온,8,,"51,475USD ","6,000,000원", 
해피나이스,9,,"1,083,533USD ","247,760,000원", 
피엔에스니드,10,,"210,553USD ","21,156,000원","16,030USD "
새내폭주,11,,"1,083,533USD ",,0
소중한당신,12,,"326,400USD ",,"32,380USD "
미스스피드,13,,"1,083,533USD ","77,120,000원", 
파워빅씨,14,,"3,084,278USD ",,0
금빛여전사,1,,"3,084,278USD ","98,230,000원", 
에너자이저,2,,"583,280USD ","518,306,000원", 
화이트윙,3,,"669,260USD ",, 
골드스파이크,4,,"254,672USD ","363,840,000원", 
고어헤드,5,,"583,280USD ","159,225,000원", 
리턴밸리브리,6,,"416,475,000JPY ","256,236,000원", 
최강토마,7,,"416,475,000JPY ",, 
텔로스,8,,"339,984USD ","421,378,000원", 
보라퀸,9,,"1,083,533USD ","19,584,000원", 
케이엔메니퀸,10,,"1,732,000USD ",,"117,800USD "
미스캠프,11,,"339,984USD ","89,915,000원", 
금세다,12,,"416,475,000JPY ","69,900,000원", 
다모아트리플,13,,"339,984USD ",,"131,070USD "
럭셔리킹,14,,"568,629,000JPY ","112,068,000원", 
미르캡틴,1,,"568,629,000JPY ",0원, 
모닝뉴스,2,,"172,705,000JPY ","54,392,000원", 
선더호스,3,,"416,475,000JPY ",, 
국향,4,,"339,984USD ",,"50,586USD "
컴플리트샤인,5,,"804,090USD ",,"8,719USD "
아이스스타,6,,"1,083,533USD ",, 
거센파워,7,,"1,103,496USD ",,"35,233USD "
녹두장수,8,,"3,084,278USD ","121,078,000원", 
야스,9,,"1,570,380USD ","86,474,000원", 
바이킹하트,10,,"1,037,810USD ",,0
고속대박,11,,"835,140USD ",,"62,426USD "
나하프린세스,12,,"1,037,810USD ",,"30,255USD "
비봉마루,13,,"493,755USD ",,"41,639USD "
천체,14,,"583,280USD ","74,582,000원", 
아침기상,1,,"51,475USD ",,"201,353USD "
동에번쩍,2,,"905,434USD ",,0
백랑,3,,"669,260USD ",,"41,514USD "
스포트라이트,4,,"1,103,496USD ","92,242,000원", 
로열영광,5,,"389,141USD ","114,539,000원", 
드림럭키,6,,"669,260USD ","129,334,000원", 
파이팅대디,7,,"669,260USD ",,"38,063USD "
록파이터,8,,"1,570,380USD ","7,480,000원", 
블랙인디,9,,"1,103,496USD ",,"130,602USD "
플렉스퀸,10,,"1,037,810USD ","250,660,000원", 
아침함성,11,,"1,083,533USD ","210,222,000원", 
세명캡틴,12,,"254,672USD ","4,910,000원", 
머니강자,13,,"3,187,232USD ","118,005,000원", 
트리운포,14,,"1,732,000USD ","209,197,000원", 
쏘아라바바,1,,"1,037,810USD ",,"170,121USD "
새내초이스,2,,"274,382USD ",,"74,664USD "
피케이로드,3,,"1,732,780USD ",,0
패션드패션,4,,"583,280USD ",,"76,672USD "
미스양호,5,,"1,103,496USD ",,"46,426USD "
대세만세,6,,"1,103,496USD ","230,053,000원", 
라온스페셜,7,,"1,236,820USD ",,"4,200USD "
골든배지,8,,"114,300USD ",,"44,645USD "
드림맥스,9,,"51,475USD ",0원,0
달의기적,10,,"583,280USD ",,"270,360USD "
봄꽃,11,"1,087,822,000원", ,"37,235,000원", 
광야시대,12,"409,030,000원", ,"17,025,000원", 
거센질풍,13,,"1,810,805USD ",,"90,330USD "
클라우터,14,,"1,083,533USD ","51,491,000원", 
빅플랜,1,,"190,838USD ","76,500,000원", 
올마이퀸,2,,"491,312USD ",,"12,003USD "
신부,3,,"339,984USD ",,0
달려라광산,4,,"274,382USD ",,0
만에하나,5,,"51,475USD ",,"16,630GBP "
백학,6,,"210,553USD ","269,786,000원", 
셋더페이스,7,,"172,705,000JPY ",,0
대승퀸,8,,"1,810,805USD ","87,798,000원", 
굿초이스,9,,"416,475,000JPY ",,"11,072USD "
로열축복,10,,"493,755USD ",,"77,031USD "
방주,11,,"597,080USD ",,"130,602USD "
그레이킹덤,12,,"601,560USD ",,"85,886USD "
백제의꿈,13,,"804,090USD ","217,955,000원", 
라피도볼트,14,,"804,090USD ","40,825,000원", 
대지여걸,1,,"7,712,841USD ",0원, 
글로리파이터,2,,"326,400USD ",,"35,296USD "
티케이보이,3,,"1,037,810USD ","31,995,000원", 
울트라시대,4,,"1,103,496USD ",,"1,140USD "
황금파워,5,,"568,629,000JPY ","104,050,000원", 
럭키플랜,6,,"190,838USD ",,"15,860USD "
선샤인특급,7,,"1,083,533USD ",,330USD 
피스오브룰즈,8,,"3,084,278USD ","136,676,000원", 
천운동행,9,,"1,103,496USD ",,"21,243USD "
위대한파이터,10,,"1,005,413USD ",,"14,600USD "
아스테르,11,,"85,630,000JPY ","122,395,000원", 
아라시,12,,"416,475,000JPY ",,"184,605USD "
사만다치타,13,,"389,141USD ",,"16,285USD "
엄지여왕,14,,"315,015USD ",,"80,303USD "
천둥여울,1,,"416,475,000JPY ","373,907,000원", 
글로벌천하,2,,"339,984USD ","174,214,000원", 
최강마,3,,"51,475USD ","107,936,000원", 
우대륭,4,,"3,924,648USD ",,"176,880USD "
라온라이트맨,5,,"1,236,820USD ",,"1,500USD "
블레이드스톰,6,,"185,213USD ",,"19,245USD "
방탄마,7,"689,387,200원", ,"155,903,000원", 
와와여장부,8,,"315,015USD ",,0
캠프터치,9,,"339,984USD ",,"119,723USD "
라온돌풍,10,,"12,891,734USD ",,"417,736USD "
초동보배,11,,"158,713AUD ","107,054,000원", 
블랙윙윙,12,,"3,187,232USD ","112,610,000원", 
럭키상운,13,,"583,280USD ",,0
멋진금성,14,,"1,810,805USD ","266,742,000원", 
아르폰스,1,,"742,640USD ",,"51,158USD "
이스트반,2,,"1,031,596USD ",,0
장산미사일,3,,"3,924,648USD ",,"32,065USD "
유니콘브라보,4,,"562,000USD ",,"23,070USD "
퀀텀점프,5,,"978,960USD ",,"142,429USD "
럭키영,6,,"2,283,402USD ",,0
와이헤케천사,7,,"4,540,908USD ",, 
청춘비바,8,,"1,104,040USD ",, 
엘리트라인,9,,"662,000USD ",,"63,922USD "
세렌디피티야,10,,"296,731USD ",,"38,710USD "
선우럭키,11,,"2,612,516USD ",,"81,500EUR "
모닝타이거,12,,"2,281,645USD ",, 
월드캡틴,13,,"2,690,600USD ",,"26,491USD "
블랙펀치,14,,"2,691,135USD ",,"167,680USD "
최강영천,1,,"1,037,810USD ",,"62,433USD "
고속페달,2,,"804,090USD ",,"62,770USD "
농부의수채화,3,,"396,254USD ","141,780,000원", 
운외창천,4,,"58,610USD ","109,876,000원", 
시선집중,5,,"3,187,232USD ","198,273,000원", 
와일드킹덤,6,,"297,000USD ",,"41,514USD "
아마로네,7,,"3,545,062USD ","190,561,000원", 
송암바비,8,,"456,410USD ",,"66,215USD "
메이세이드림,9,,"494,895,000JPY ",,"124,453USD "
킹오브이글,10,,"172,705,000JPY ","511,520,000원", 
멋진승부,11,,"1,236,820USD ","140,481,000원", 
레스카,12,,"3,614,500USD ",,"268,480USD "
대싱카누,13,,"568,629,000JPY ","201,285,000원", 
불굴의러너,1,,"1,293,782USD ",, 
에이스찬,2,,"664,982USD ",,280USD 
리암스무니,3,,"135,191USD ",,"84,319USD "
켄터키망치,4,,"1,878,013USD ",,"65,568CAD "
아메리칸포스원,5,,"794,855USD ",,"1,512USD "
빅토리맵,6,,"1,358,940USD ",, 
원더풀인디언,7,,"1,182,992USD ",,720USD 
선포레,8,,"1,994,460USD ",,"34,734USD "
본능대로,9,,"500,435USD ",,"131,553USD "
유니콘알파,10,,"972,632USD ",,0
캐논슈터,11,,"922,180USD ",,"48,594USD "
골드블루매직,12,,"710,480USD ",,"8,740AUD "
굿센스,13,,"4,383,200USD ",,"34,970USD "
그레이트리,14,,"687,967USD ",,0
더드림,1,,"1,732,000USD ",,0
러브레이스,2,,"1,732,000USD ",,0
눈부신한센,3,,"1,810,805USD ",,0
여걸비전,4,,"494,895,000JPY ","287,612,000원", 
슈퍼엑톤,5,,"1,503,825USD ","158,570,000원", 
섬싱노바디노,6,,"274,382USD ",0원,0
낭만스타,7,,"3,187,232USD ","210,254,000원", 
두만강,8,,"396,254USD ",,0
머니실크,9,,"1,083,533USD ","73,023,000원", 
델타케이,10,,"278,406USD ","80,230,000원", 
빅토리킹,11,,"2,580,402USD ",,"30,132CAD "
동작,12,,"1,810,805USD ",,"176,400USD "
