name,ranked,fw,fd,mw,md
피닉스울프,8,,"1,103,050CAD ",,"1,458,198USD "
머스탱런,9,,"3,645,383USD ",,500USD 
굿카이로,10,,"562,000USD ",,"32,192USD "
위대한파이터,11,,"1,005,413USD ",,"14,600USD "
파티큘러퀸,12,,"3,924,648USD ",,"74,620USD "
럭키봉성,1,,"1,810,805USD ",,"14,507USD "
안목항,2,,"396,254USD ","82,258,000원", 
타이밍굿,3,,"3,084,278USD ","45,956,000원", 
셋더페이스,4,,"172,705,000JPY ",,0
위너크라운,5,,"493,755USD ",,"8,014USD "
조이오브킹,6,,"172,705,000JPY ",,"9,480USD "
배다리서미트,7,,"494,895,000JPY ","145,767,000원", 
메니타운십,8,,"1,732,000USD ",,0
큐피드여왕,9,,"114,300USD ",,"78,976USD "
원더풀댄서,10,,"617,310USD ",, 
정조의꿈,11,,"114,300USD ",,880USD 
라온호크,12,,"1,083,533USD ",,640USD 
스마티아델,1,,"1,810,805USD ","72,204,000원", 
원더풀루비,2,,"416,475,000JPY ",,"25,309USD "
럭키소천,3,,"51,475USD ",,"29,760USD "
스타리스트,4,,"3,545,062USD ","38,806,000원",0
베티나,5,,"210,553USD ",,"1,320USD "
엠제이타운,6,,"819,668USD ",,"20,390USD "
쏘아라우츠,7,,"120,176USD ",,"207,440USD "
더조은내일,8,,"1,732,000USD ","485,085,000원", 
동해실버,9,,"568,629,000JPY ",,0
총알같이,1,,"396,254USD ","81,118,000원", 
골든웨딩,2,"451,805,000원", ,,"73,626USD "
라스트잭팟,3,,"568,086USD ",,0AUD 
바리메캠프,4,,"339,984USD ","61,748,000원", 
트루팀버,5,,"7,712,841USD ","296,100,000원", 
스피드흑룡,6,,"210,553USD ",,"4,005USD "
달려라라온,7,,"3,084,278USD ",,"1,920USD "
큐피드플라잉,8,,"51,475USD ","227,208,000원", 
백산아일랜드,9,,"435,597USD ",,"20,646USD "
스타퍼펙트,10,,"578,302,000JPY ","142,751,000원", 
승리플러스,11,,"804,090USD ","180,313,000원", 
파이널캡틴,12,"451,805,000원", ,,0
문학아리아리,1,,"1,146,340USD ",,"10,377USD "
대군천하,2,,"1,878,013USD ",,"29,446USD "
글라디아토레에이,3,,"1,046,381USD ",,"81,473USD "
원더풀인디언,4,,"1,182,992USD ",,720USD 
리암스무니,5,,"135,191USD ",,"84,319USD "
센스쟁이,6,,"742,640USD ",,"10,490USD "
남촌데이,7,,"1,706,350USD ",,"32,406USD "
맹주,8,,"4,383,200USD ",,0USD 
패션피플,9,,"583,280USD ",,"127,465USD "
아델엔젤,10,,"492,910USD ",,"22,944USD "
더더비,11,,"492,430USD ",,"44,820USD "
문학파이어,12,,"385,807USD ",,0
스피드영웅,1,,"3,084,278USD ","34,768,000원",0RUB 
천년바이킹,2,"1,225,505,000원", ,"34,927,000원", 
사이먼프루트,3,,"274,382USD ",,"16,060USD "
제왕의별,4,,"1,503,825USD ",,"148,914USD "
해피스트,5,,"51,475USD ","40,536,000원", 
해피마운틴,6,,"1,607,774USD ",,"300,820USD "
재롱이,7,,"4,156,389USD ","29,446,000원", 
스피드청룡,8,,"1,732,000USD ","28,637,000원",0AUD 
천하형국,9,,"70,961,000JPY ","44,551,500원", 
여울이,10,,"3,294,901USD ","15,449,000원",0
희망포인트,11,,"315,015USD ",,"8,445USD "
어린왕자,12,,"339,984USD ",,438USD 
메갈리오스,1,,"1,380,200USD ",,"34,540USD "
삼삼빅토리,2,,"385,807USD ",,"36,622USD "
하와이보스,3,,"633,076USD ",,"8,345USD "
킹포세,4,,"1,423,379USD ",,"65,390USD "
마이비전,5,,"835,142USD ",,"53,320USD "
왕의대로,6,,"1,779,012USD ",,"43,148USD "
장산베어스,7,,"1,146,340USD ",,244USD 
비드타운,8,,"819,668USD ",,0
핵항공모함,9,,"1,104,810USD ",,"46,346USD "
본워리어,10,,"254,672USD ",,"41,885USD "
아르고오섬,11,,"835,142USD ","113,588,000원", 
우먼볼트,12,,"727,290USD ",,0AUD 
말리부불패,1,,"33,840USD ",,"133,683USD "
청담제왕,2,,"3,090,101USD ",,0
플레이시스투고,3,,"1,026,229USD ",,"150,550USD "
흥룡,4,,"811,760USD ",,0
장산제왕,5,,"399,089USD ",,"8,014USD "
신규강자,6,,"35,665USD ","145,591,000원", 
다이나믹질주,7,,"591,225USD ",,"184,175USD "
글로벌뱅크,8,,"114,300USD ",,"31,200USD "
이광사석,9,,"185,417USD ","139,414,000원", 
센터폴,1,,"1,732,000USD ","227,736,000원", 
무도,2,,"254,672USD ",,"38,880USD "
메니그랜드,3,,"1,732,000USD ",,"15,820USD "
천년의바람,4,,"274,382USD ","64,602,000원", 
스피드벨,5,,"205,617USD ",,"16,285USD "
챔프케이,6,,"114,300USD ","67,895,000원", 
라비에벨,7,,"339,984USD ",,0
에이스샤인,8,,"51,475USD ",,0
피케이군주,9,,"1,732,000USD ","113,667,000원", 
