,자식마명,부마원,부마달러,모마원,모마달러
90,['엠파이어킹덤'],,"1,304,800USD ",,"64,278USD "
91,['정상천마'],,"1,037,810USD ",,0 
92,['라이언록'],,"1,503,825USD ",,0USD 
93,['하바나찰리'],,"251,090USD ",,"23,330USD "
94,['스마트파크'],,"903,685USD ",,"108,780USD "
95,['스피드조이'],,"439,250USD ",,290USD 
96,['굿헤니'],,"1,124,820USD ",,"171,091USD "
97,['뉴파트너'],,"480,001USD ","34,927,000원", 
98,['코리아정상'],,"1,319,481USD ",,"34,917USD "
99,['칼리오페'],,"617,310USD ",,"242,086USD "
