자식마명,부마원,부마달러,모마원,모마달러
재즈불릿,,"2,283,402USD ",,"110,340USD "
내길의빛,,"163,133USD ",,761USD 
탄탄위너,,"804,090USD ",,"31,605USD "
푸에르스페스,,"1,570,380USD ",,"7,440USD "
컬러즈킹,,"51,475USD ","40,536,000원", 
아라시,,"416,475,000JPY ",,"184,605USD "
천웅,,"396,254USD ","50,583,000원", 
대변화,,"456,410USD ","108,486,000원", 
마샤,,"1,503,825USD ",,"118,880USD "
큐피드스톰,,"568,086USD ",,750USD 
라온스톰,,"1,810,805USD ","113,835,000원", 
땡큐마더,,"1,732,000USD ","648,176,000원", 
원더풀딕시,,"617,310USD ","37,665,000원", 
스칼렛퍼펙트,,"339,984USD ","49,730,000원", 
로만블레이드,,"1,220,800USD ",,"60,950USD "
제이에스스톰,"579,356,000원", ,"174,340,000원", 
아름다운천사,"1,861,967,000원", ,"157,452,000원", 
베스트스타,,"1,810,805USD ","74,330,000원", 
에이스솔롱고,,"339,984USD ",,"12,710USD "
세븐즈럭키,,"210,553USD ",,"45,930USD "
아쿠아스톰,,"274,382USD ",,"54,501USD "
인천챔프,,"1,052,520USD ",,0
스마일걸,,"172,705,000JPY ",,"22,220,000JPY "
조우니가,,"3,044,000USD ",,"20,996USD "
온리바람,,"1,607,774USD ",,"1,443USD "
초인볼트,,"1,732,000USD ",,0
퍼스트퀸,,"315,015USD ",,0
동방지주,,"3,187,232USD ","2,770,000원", 
샤크대장군,,"1,503,825USD ","420,130,000원", 
선더블레이드,,"1,182,992USD ",,"19,920USD "
메니바다,,"1,732,000USD ","114,172,000원", 
황금주머니,,"1,503,825USD ","237,946,000원", 
점보캡틴,,"3,084,278USD ","100,842,000원", 
맘보칸,,"278,406USD ","66,894,000원", 
스카이돌풍,,"568,086USD ",,"103,642USD "
머치머니,,"339,984USD ",,"3,340USD "
야호스트롱캣,,"339,984USD ","46,880,000원", 
프린스메모리,,"3,990,138USD ",,0
지오스타,,"6,169,800USD ",,468USD 
오케이퀸,,"114,300USD ","2,600,000원", 
땡큐찰리,,"251,090USD ",,"115,595USD "
프라임골드,,"456,410USD ",,"103,052USD "
한센글로리,,"1,810,805USD ",,"82,046USD "
아이비에스마린,,"583,280USD ",,"10,210USD "
바람속으로,,"1,007,708USD ",,"54,660USD "
넌감동이야,,"193,766USD ",,0
슈퍼캡틴,,"3,545,062USD ",,"157,400USD "
엑스블레이드,,"396,254USD ","5,280,000원", 
천괴성,,"205,617USD ","106,041,000원", 
눈빛언약,,"254,672USD ","117,440,000원", 
최강파티,,"1,732,000USD ","716,613,000원","1,780USD "
시티송암,,"51,475USD ",,"87,758USD "
미스선샤인,"233,137,000원", ,"284,820,000원", 
홀리데이모닝,,"1,251,300USD ",,"3,535USD "
클래식댄서,,"1,083,533USD ",,350USD 
로열고스트,,"568,086USD ","1,800,000원", 
스페셜버드,,"695,299USD ","126,302,000원", 
베스트신화,,"163,133USD ","76,860,000원", 
장군의시대,"933,060,000원", ,"254,715,000원", 
그린레이저,,"493,755USD ",,"54,385USD "
카히나,,"3,187,232USD ",,"116,910USD "
