자식마명,부마원,부마달러,모마원,모마달러
영희시대,,"1,810,805USD ",,0
스캐터메인,,"2,612,516USD ",,"521,634USD "
비르투스,,"51,475USD ",,"16,046USD "
레드선,,"1,503,825USD ","162,310,000원", 
더파이널,,"85,630,000JPY ",,"37,060USD "
드림영천,,"3,084,278USD ",,"4,148USD "
불굴의러너,,"1,293,782USD ",, 
팔도대장,,"210,553USD ","26,945,000원", 
심청사달,,"804,090USD ",,0
불의고리,,"695,299USD ",,"16,285USD "
천지애가,,"804,090USD ",,0
트리플마운틴,,"1,732,000USD ","756,787,000원", 
윈드리버,,"1,503,825USD ",,"1,100USD "
해랑,,"51,475USD ",,880USD 
정성스타,,"51,475USD ",,"12,567USD "
로열리멤버,,"516,977USD ",,"88,045USD "
라온브라이언,,"12,891,734USD ",,"22,590,000JPY "
다이아삭스,,"698,574USD ",,0USD 
해마루,,"835,142USD ",,0
최고머니,,"1,019,200USD ",,"39,540USD "
롤러블레이드,,"804,090USD ",,"47,840USD "
탁트인,,"1,810,805USD ",,"21,790CAD "
케이엔로드,,"583,280USD ",,"39,200USD "
럭키법전,,"1,810,805USD ",,"138,998USD "
금아콜로설,,"254,672USD ","108,515,000원", 
강호제일,,"493,755USD ",,0
봄날의기억,,"51,475USD ",,"39,370USD "
백학,,"210,553USD ","269,786,000원", 
장수나봄,,"583,280USD ","76,860,000원", 
스페셜어게인,,"695,299USD ","75,782,000원", 
당대짱,,"695,299USD ","138,984,000원", 
페더럴킹,,"172,705,000JPY ",,0JPY 
모란동백,,"480,001USD ","7,480,000원", 
캠프터치,,"339,984USD ",,"119,723USD "
스카이점프,,"114,300USD ",,"130,150USD "
록초이스,,"1,570,380USD ",,0AUD 
트루밸러,,"1,503,825USD ",,"118,880USD "
명진플라이,,"1,031,596USD ",,"41,986USD "
브리가디어제너럴,,"557,300USD ",,"133,879USD "
문학서브,,"1,146,340USD ",,"7,150USD "
그레이킹덤,,"601,560USD ",,"85,886USD "
켄터키망치,,"1,878,013USD ",,"65,568CAD "
더검푸,,"529,566USD ",,"183,600USD "
아리안왕자,,"877,536USD ",,"133,950AUD "
하늘공원,,"339,984USD ",,"2,720USD "
리빙인더모던,,"254,672USD ",,"9,490USD "
초동스트리트,,"1,503,825USD ",,0
에이원킹,,"396,254USD ","18,126,000원", 
대군피닉스,,"1,359,274USD ",,"1,640USD "
새로운보배,,"315,015USD ",,"104,085USD "
블랙엘리트,, ,, 
클린업드림,,"1,503,825USD ","25,763,000원", 
미스펙터,,"804,090USD ",,0
딥마인드,,"1,732,000USD ","197,615,000원", 
신비한여인,"105,760,000원", ,"116,542,000원", 
아마존여걸,,"51,475USD ",,"107,355USD "
토스코노바캣,,"658,960USD ",,"63,354USD "
신조대협,,"2,323,040USD ",,"215,694USD "
당당한여걸,,"3,545,062USD ","73,127,000원", 
초인강자,,"1,732,000USD ",,"117,578USD "
피케이힐,,"493,755USD ",,0
정문서미트,,"583,280USD ",,0
마성투혼,,"339,984USD ","75,012,000원", 
바디스타,,"612,935USD ",,"72,611USD "
달리는빛깔,,"1,732,000USD ",,"46,952USD "
화려,,"1,810,805USD ","181,012,000원", 
원더풀하트,,"617,310USD ",,"898,000JPY "
삼애락,,"1,570,380USD ",,"189,416USD "
청운지벽,,"1,810,805USD ",,"82,046USD "
메이블루,,"1,083,533USD ","71,512,000원", 
럭키상운,,"583,280USD ",,0
비제니스,,"1,146,340USD ",,"14,229USD "
스트레토,,"274,382USD ","140,870,000원", 
트루루비,,"205,617USD ","250,660,000원", 
애니선,,"1,083,533USD ","202,802,000원", 
클리어스토리,,"205,617USD ",,"121,476USD "
두둥이,,"1,251,300USD ",,"6,459USD "
소망의탑,,"172,705,000JPY ","174,206,000원", 
다시두손,,"583,280USD ","81,895,000원", 
골드히어로,,"254,672USD ","262,249,000원", 
농부의수채화,,"396,254USD ","141,780,000원", 
골든스파크,,"274,382USD ",,"34,280USD "
왕표의꿈,,"1,570,380USD ","102,355,000원", 
러블리위너,,"133,833USD ",,0AUD 
위너템플러,,"393,200USD ",,"27,200,000JPY "
대군일갈,,"6,169,800USD ",,"33,490USD "
모노투,,"695,299USD ","125,768,000원", 
퍼펙트라이트,,"114,300USD ",,780USD 
룰즈파크,,"3,084,278USD ",,"22,685USD "
에클레어샤인,,"51,475USD ",,400USD 
아토,,"703,884USD ",,"89,028USD "
시스푸마캡틴,,"585,719USD ",,"106,401USD "
인천캡틴,,"601,560USD ",,0
에코퍼스트온,,"915,075USD ",,"106,693USD "
피엔에스아리,,"937,240USD ",, 
샌드루이스,,"2,879,612USD ",,0
최강팀,,"583,280USD ",,"7,400USD "
컴플리트킹덤,,"51,475USD ",,"46,346USD "
라온베스트맨,,"1,236,820USD ",,"417,736USD "
머니챔프,"2,426,805,000원", ,, 
스트롱퀸,,"51,475USD ",,"31,669USD "
제이에스파워,,"617,310USD ","44,154,000원", 
에이스윈,,"3,000USD ","1,500,000원", 
단비와호수,,"1,236,820USD ","65,461,000원", 
원더플레이스,,"978,960USD ",,"4,069USD "
레전드윈,,"583,280USD ","231,666,000원", 
킹오브더필드,,"51,475USD ","170,290,000원", 
하이비트,,"585,719USD ",,"41,475USD "
에이스컨트리,,"493,755USD ",,0
시티챔프,,"3,545,062USD ","109,402,000원", 
시티엔젤,,"339,984USD ",,"128,935USD "
송암캔디,,"944,900USD ",,"209,945USD "
정상스마트,,"1,103,496USD ",,560USD 
캡틴포스원,,"142,605USD ",,342USD 
금자유,,"1,251,300USD ",,0
장산스타트,,"2,612,516USD ",,"3,880USD "
화이팅랭퍼,,"698,574USD ",,0
화이트코멧,,"254,672USD ",,"16,200AUD "
베스트골드,,"480,001USD ","139,748,000원", 
스페셜챔프,,"3,084,278USD ",,"21,569USD "
우봉륭,,"1,182,992USD ",,"117,800USD "
타미나,,"1,810,805USD ","219,712,000원", 
천지울림,,"210,553USD ",,"93,116USD "
메니히어로,,"1,732,000USD ","548,953,000원", 
멋진금성,,"1,810,805USD ","266,742,000원", 
메니챔프,,"1,732,000USD ",,"6,570USD "
퓨처파이어,,"1,293,437USD ",,"58,431USD "
새내스퍼트,,"1,732,000USD ",,0
삼성비바,,"254,672USD ",,"65,390USD "
이비사걸,,"1,083,533USD ","122,395,000원", 
원더풀플레저,,"617,310USD ",0원, 
골드브릿지,,"51,475USD ","47,338,000원", 
클레오,,"1,732,000USD ",,0
플래시제트,,"405,730USD ",,464USD 
신돌격,,"456,410USD ",,"61,726USD "
리치여장군,,"310,430USD ",,"36,058USD "
행운머니,,"621,498USD ",,0
초동로즈,,"1,810,805USD ","74,582,000원", 
메니스탠드,,"1,732,000USD ",,"94,795USD "
티케이데이,,"1,236,820USD ","31,995,000원", 
제이엠파이터,,"1,236,820USD ","224,624,000원", 
슈퍼엑톤,,"1,503,825USD ","158,570,000원", 
비상등,,"1,810,805USD ",,"22,060USD "
원더풀캣,,"4,941,513USD ","61,464,000원", 
코리아기적,,"1,810,805USD ","88,798,000원", 
원더풀니키야,,"617,310USD ",,"27,200,000JPY "
졸리로저,,"493,755USD ",,"9,600AUD "
탱고타임,,"1,810,805USD ",,"2,800USD "
엘리트레이디,,"4,941,513USD ","213,750,000원", 
피케이돌풍,"76,502,000원", ,"133,921,000원", 
새내초이스,,"274,382USD ",,"74,664USD "
강한여전사,,"1,083,533USD ","154,395,000원", 
이터널메모리,,"210,553USD ",,0USD 
갤럽컬린,,"10,501,800USD ",,0
샤크짱,,"1,154,000USD ",,0
포르티오르,,"1,146,340USD ",,"155,977USD "
로열축제,,"51,475USD ",,0
섬싱웰메이드,,"1,083,533USD ",,0
골드캡틴,,"456,410USD ","77,602,000원", 
레인케이,"76,502,000원", ,"24,600,000원", 
러피언파크,,"1,503,825USD ",0원, 
일보등천,,"633,076USD ",,"4,542USD "
자이언트걸,,"1,083,533USD ",,330USD 
머니라인,,"1,570,380USD ","72,204,000원", 
차세대강자,,"1,083,533USD ",,"216,315USD "
무비쿠스,,"33,840USD ",,"4,680USD "
문학보스,,"748,000USD ",,"29,982USD "
홍시,,"1,606,000USD ",, 
마이티수,,"1,889,766USD ",,"37,700USD "
가야영봉,,"2,274,073USD ",,"5,850AUD "
엘리트레오,,"1,878,013USD ",, 
패트리어츠테일,,"1,182,992USD ",,"16,489USD "
디케이마루,,"3,090,101USD ",,125USD 
파레시아,,"416,475,000JPY ","44,762,000원", 
막지마,,"268,125USD ",,"28,989USD "
금아래피드,,"203,050AUD ",,"107,720AUD "
우리의행복,,"568,086USD ","37,184,000원", 
제이콥,,"416,475,000JPY ",,"500,000JPY "
메인레이서,,"1,570,380USD ",,"126,242USD "
와일드킹덤,,"297,000USD ",,"41,514USD "
라피도볼트,,"804,090USD ","40,825,000원", 
대형호재,,"3,084,278USD ",,"1,870USD "
한라블로섬,,"804,090USD ","236,827,000원", 
만세,,"2,765,800USD ",,"45,700USD "
밀키셰리,,"3,545,062USD ",,"3,850,000JPY "
싱싱유로,,"617,310USD ",,"13,640AUD "
엑시트포인트,,"2,494,490USD ",,100USD 
다이나믹커밍,,"794,855USD ",,"2,591USD "
크레이지팩터,,"922,180USD ",,"109,500AUD "
새로운군주,,"568,629,000JPY ","77,630,000원", 
위너블루,,"583,280USD ","128,040,000원", 
금아플로러스,,"1,732,000USD ",,"31,605USD "
라온블러드,,"1,236,820USD ",,"7,000,000JPY "
한일모아,,"1,083,533USD ",,0
매드디바,,"568,086USD ","121,284,000원", 
퍼펙트파워,,"51,475USD ",,"198,635USD "
이천특급,,"583,280USD ","104,626,000원", 
사과랑,,"456,410USD ","107,578,000원", 
굴참나무숲,,"107,515USD ","140,481,000원", 
천사박,,"1,039,000USD ",,"18,519USD "
늑대전사,,"51,475USD ","114,539,000원", 
좋은가문,,"172,705,000JPY ","157,452,000원", 
정문레이저,,"205,617USD ",,"101,898USD "
마하승천,,"1,083,533USD ","55,014,000원", 
라온터프맨,,"1,236,820USD ",,"22,590,000JPY "
콰이어트아델,,"1,732,000USD ",,170USD 
원더풀오렌지,,"493,755USD ","353,733,000원", 
당찬바람,,"3,084,278USD ","117,440,000원", 
베스트럭키,,"51,475USD ",,0
마하네단,,"804,090USD ","81,190,000원", 
뉴드림,,"190,838USD ",0원, 
스마트돌풍,,"51,475USD ","60,246,000원", 
흥행질주,,"51,475USD ",,"1,580USD "
부스터로켓,,"1,236,820USD ",,0
동쪽글로리,,"1,083,533USD ",,"179,268USD "
해피먼스,,"695,299USD ","122,937,000원", 
센킹,,"1,570,380USD ",,"67,540USD "
백제의꿈,,"804,090USD ","217,955,000원", 
라온라이트맨,,"1,236,820USD ",,"1,500USD "
더비스트,,"804,090USD ","231,487,000원", 
삼정타퍼즈,,"1,810,805USD ",,150USD 
럭키명호,,"804,090USD ",,0USD 
초동샤이니,,"2,362,398USD ",,0
스카이타임,,"695,299USD ","10,500,000원", 
슬립웰,,"32,400USD ",,0USD 
디케이퍼미르,,"2,612,516USD ",,0
축복의약속,,"1,455,560USD ",,"11,610USD "
이스트반,,"1,031,596USD ",,0
블랙펀치,,"2,691,135USD ",,"167,680USD "
은어축제,,"2,283,402USD ",, 
선더비스트,,"676,300USD ",,683USD 
에이스찬,,"664,982USD ",,280USD 
문학리워드,,"1,064,727USD ",,"16,715USD "
달려라광산,,"274,382USD ",,0
테라스피드,,"612,935USD ","110,964,000원", 
사이킥보스,,"172,705,000JPY ",,0
라이언여제,"76,502,000원", ,,"20,390USD "
라온퍼스트,,"1,236,820USD ",,"149,633USD "
원더풀어게인,,"254,672USD ",,"7,870USD "
티즈킹,,"254,672USD ",,0
사나래,,"1,083,533USD ",,"88,898USD "
사일런트,"451,805,000원", ,,"8,100USD "
디터미네이션,,"51,475USD ",,"39,920USD "
블루케이,,"416,475,000JPY ","201,285,000원", 
슈룹,,"751,629USD ",,"42,552USD "
황금럭키,,"1,031,596USD ",,"27,791USD "
파노라마선,,"148,815USD ",, 
브라보삭스,,"1,380,200USD ",,"37,412USD "
트윈제트,,"444,717USD ",,"28,498USD "
검홍,,"205,617USD ","151,850,000원", 
버나디쇼,,"710,480USD ",,0
초강국,"2,426,805,000원", ,"183,655,000원", 
당대로얄,,"578,302,000JPY ","20,583,000원", 
케이톱킹,,"1,503,825USD ","462,480,000원", 
큐피드비상,,"114,300USD ","119,331,000원", 
라이징빅토리,,"172,705,000JPY ","62,050,000원", 
다행이다,,"51,475USD ",,0
누비자,,"583,280USD ","270,345,000원", 
놀부천하,,"51,475USD ","9,426,000원", 
엑설런트하이,,"1,570,380USD ",0원, 
블루킹,,"1,083,533USD ",, 
황금해,,"493,755USD ",,"10,608USD "
아라리요,,"612,935USD ",, 
검포,,"1,810,805USD ",,"152,427USD "
펀치파워,,"254,672USD ",,350USD 
다이나믹펀치,,"3,044,000USD ",,0
클린하트,,"2,088,853USD ",,"42,552USD "
포에버럭키,,"371,623,500JPY ",,"44,207USD "
신록,,"1,570,380USD ","278,352,000원", 
태양의눈,,"1,236,820USD ","90,152,000원", 
킹오브선데이,,"172,705,000JPY ","132,600,000원", 
홈커밍,,"1,290,734USD ",,"49,803USD "
수리수리마,,"638,822USD ",,"48,513USD "
어마무시,,"770,496USD ",, 
매직포스원,,"142,605USD ",,"5,560USD "
피버디니,,"710,480USD ",,"219,266USD "
엘리트라인,,"662,000USD ",,"63,922USD "
아르폰스,,"742,640USD ",,"51,158USD "
히트더페이스,,"804,090USD ",,0
천둥여울,,"416,475,000JPY ","373,907,000원", 
독보천하,,"339,984USD ",,"22,780USD "
럭키스마일,,"1,732,000USD ","122,692,000원", 
파워타워,,"1,810,805USD ","136,795,000원", 
샤이니파이어,,"1,380,200USD ",,"26,846USD "
강화처녀,"656,707,000원", ,"62,770,000원", 
산뜻한스침,,"172,705,000JPY ",,"17,358USD "
허니버터바비,,"51,475USD ",,"11,950USD "
그린서미트,,"1,380,200USD ",,0
달과구름,,"695,299USD ","40,941,000원", 
백산메니퀸,,"1,732,000USD ","252,510,000원", 
친친짠,,"185,417USD ",, 
돌아온아침해,,"978,960USD ",,"137,917USD "
페네트로,,"85,630,000JPY ",, 
마초브레시,,"5,625,410USD ",,"144,858USD "
해샘찬,,"254,672USD ","266,742,000원", 
거센질주,,"1,103,496USD ",,0
컴플리트캡틴,,"339,984USD ","46,605,000원", 
천지꽃바람,,"493,755USD ",,"2,340USD "
스프링데이,,"172,705,000JPY ",,"11,250,000JPY "
백두산천지,,"1,810,805USD ",,"39,760USD "
컴플리트매직,,"254,672USD ","51,995,000원", 
다나은석세스,,"205,617USD ","167,687,000원",0
라온슈퍼맨,,"1,236,820USD ",,"38,876USD "
레스카,,"3,614,500USD ",,"268,480USD "
글로벌에이스,,"1,104,040USD ",,0
브레이브퀸,,"49,200USD ",,400USD 
문학킹,,"6,427,830USD ",,0
선포레,,"1,994,460USD ",,"34,734USD "
큐피드스카이,,"633,076USD ",,350USD 
아미고라로,,"1,077,140USD ",,0
찰리스타일,,"251,090USD ",,0
문학잭팟,,"1,293,437USD ",,"134,034USD "
싱싱메리,,"385,807USD ",,"96,279USD "
마이티와,,"315,015USD ","278,587,000원", 
라온탑맨,,"1,236,820USD ","182,764,000원", 
베스트탑,,"205,617USD ","42,990,000원", 
환상터치,,"612,935USD ",,0
록라인,,"1,570,380USD ","134,698,000원", 
원더풀제이드,,"617,310USD ",,"5,700,000JPY "
송암티즈,,"254,672USD ",,"53,990USD "
파이팅히어로,,"742,640USD ",,"18,828USD "
블루치퍼,,"6,427,830USD ",,"231,980USD "
파이널에너지,,"416,475,000JPY ","181,420,000원", 
하트우드,,"557,300USD ",,"275,066USD "
홀리리걸,,"764,836USD ",, 
투데이,,"3,728,170USD ",,"133,079USD "
어글리워리어,,"952,600AUD ",, 
패스트패스,,"654,681USD ",,"17,180USD "
바코엘코피,,"249,000EUR ",, 
패스더비노,,"674,405USD ",, 
앰배서도리얼,,"413,284USD ",,"4,707GBP "
글로려스아티스트,,"523,650USD ",, 
돌콩,,"2,765,800USD ",,"83,550USD "
하비월뱅거,,"978,960USD ",,482USD 
킹오브글로리,,"3,446,120USD ",,0
론세일러,,"239,229USD ",,"2,100USD "
킹오브에이스,,"33,840USD ",,"177,730USD "
대지여걸,,"7,712,841USD ",0원, 
베스트왕자,,"205,617USD ","183,590,000원", 
사이보그,,"1,810,805USD ","4,347,000원", 
스루더스카이,,"695,299USD ","251,002,000원", 
탱크삭스,,"254,672USD ",,0
월드비욘드,"2,426,805,000원", ,"107,054,000원", 
해찬,,"172,705,000JPY ","112,984,000원", 
헤리티지,,"493,755USD ","107,912,000원", 
로열축복,,"493,755USD ",,"77,031USD "
헬로금성,,"1,732,000USD ",,400USD 
신대로,"2,426,805,000원", ,"48,547,000원", 
천총,,"480,001USD ",,"5,400USD "
시선집중,,"3,187,232USD ","198,273,000원", 
샌드파워,,"1,570,380USD ",,"72,057USD "
큐피드코리아,,"1,083,533USD ","74,440,000원", 
베스트군단,,"583,280USD ","30,795,000원", 
디에코,,"3,084,278USD ","72,166,000원", 
굿원더,,"1,610,604USD ","84,420,000원", 
블루스타,,"254,672USD ",,"89,913USD "
스피돔,,"978,960USD ",,0
정상백호,,"748,000USD ",,"24,448USD "
글로벌파티,,"297,000USD ",,"44,040USD "
제이에스군주,,"866,428USD ",,"16,532USD "
에스삭스,,"2,075,791USD ",,"85,443USD "
청담포리스트,,"359,583USD ",,"66,020USD "
소울메리트,,"8,650,300USD ",,"19,705USD "
골든서비스,,"1,146,340USD ",,"7,080USD "
옥룡,,"1,065,147USD ",,"36,370USD "
레이트머니,,"2,690,600USD ",,"60,065USD "
파인터치,,"748,000USD ",,612USD 
정문에이스,,"1,243,500USD ",,"234,460CAD "
파노라마뷰,,"598,786USD ",, 
별나라신사,,"748,000USD ",,0
러블리헬멧,,"1,636,426USD ",, 
대마지풍,,"371,623,500JPY ",,"31,270USD "
초동보스,,"172,705,000JPY ",,"2,500USD "
열린문,,"1,083,533USD ",,"32,585USD "
뉴비기닝,,"3,084,278USD ","91,962,000원", 
제주의여왕,,"493,755USD ",,"48,935USD "
레전드스톰,,"804,090USD ",, 
연희일출,,"254,672USD ","165,950,000원", 
심플스타일,,"51,475USD ","115,705,000원", 
연승장관,"1,636,444,000원", ,"36,983,000원", 
프린스오브선,,"804,090USD ",,0
타우러스,,"51,475USD ",,"2,720USD "
마보스,,"1,101,924USD ",,"20,640USD "
케이프어게인,,"695,299USD ",,"45,930USD "
방주,,"597,080USD ",,"130,602USD "
굿마운트,,"210,553USD ","46,820,000원", 
피엔에스로얄,"233,137,000원", ,"20,583,000원", 
글로벌보스,,"687,967USD ",, 
더트서퍼,,"3,307,278USD ",,"221,283USD "
빅토리맵,,"1,358,940USD ",, 
러블리템포,,"3,990,138USD ",,0AUD 
우귀륭,,"516,977USD ",,0
빅토리고고,,"2,283,402USD ",,0
골드해머,,"1,019,550AUD ",,"1,525AUD "
캡틴삭스,,"944,900USD ",,"29,294USD "
눈부신한센,,"1,810,805USD ",,0
최강마,,"51,475USD ","107,936,000원", 
과천에이스,"414,605,000원",0,,"59,345USD "
원더풀라이트,,"254,672USD ",,400CAD 
천마여제,,"1,083,533USD ",,0GBP 
오주애마,,"493,755USD ",,"47,380USD "
송암캣,,"339,984USD ",,"79,305USD "
이스트제트,,"210,553USD ",,0
대승퀸,,"1,810,805USD ","87,798,000원", 
마인헌터,,"811,400USD ",,"95,970USD "
고속페달,,"804,090USD ",,"62,770USD "
체로키마린,,"114,300USD ",,"49,803USD "
교룡득수,,"1,810,805USD ","539,152,000원", 
스카이선더,,"339,984USD ","42,637,000원", 
어메이징퀸,,"254,672USD ",,"4,005USD "
홍산,"728,298,000원", ,"137,420,000원", 
공작왕,,"51,475USD ",,"389,618USD "
그랜드마스터,,"612,935USD ",,0
아스트로,,"210,553USD ","250,660,000원", 
선우엔테우스,,"612,935USD ",,"120,470USD "
스터닝한센,,"1,810,805USD ","139,542,000원", 
샤이니퀸,,"612,935USD ",,"2,117GBP "
원더풀맘보,,"4,941,513USD ",,"3,065,000JPY "
빅토리질주,"736,845,000원", ,0원, 
페더럴검,,"172,705,000JPY ","143,647,000원", 
강철다리,,"612,935USD ",,0
춘산,,"562,000USD ",,"215,440USD "
블루마카롱,,"1,177,394USD ",,"47,924USD "
선우럭키,,"2,612,516USD ",,"81,500EUR "
문학탭,,"972,632USD ",,"61,848USD "
엉클벨,,"1,031,596USD ",,0
에치드프라임,,"587,586USD ",,"12,490USD "
코인피버,,"1,442,140USD ",,"15,391USD "
울트라챔피언,,"794,855USD ",,"4,412USD "
강남맨,,"748,000USD ",,0
페이버릿스토리,,"815,943USD ",,"14,575USD "
원더풀잭팟,,"3,545,062USD ",,"250,000JPY "
골든블랙,,"1,139,150USD ",,0
록뉴스,,"1,570,380USD ","96,601,000원", 
피엔에스볼트,"470,582,000원", ,"130,190,000원", 
뉴문워리어,,"3,084,278USD ",,"15,583USD "
그레이트웨이,,"996,330USD ",,0
럭키플랜,,"190,838USD ",,"15,860USD "
통일질주,,"612,935USD ","131,667,000원", 
천지화랑,,"210,553USD ",,"25,310USD "
럭셔리캡틴,,"1,607,774USD ","39,446,000원", 
더드림,,"1,732,000USD ",,0
더블퀸,,"3,545,062USD ","119,344,000원", 
큐피드미션,,"1,284,949USD ",,"92,583USD "
글로벌조이,,"1,177,394USD ",,"1,725USD "
마이로미오,,"390,345USD ",,"28,350USD "
문학챔피언,,"794,855USD ",,0
무소의뿔,,"1,878,013USD ",, 
유포리앙,,"1,857,000USD ",,"1,680USD "
글로벌선더,,"804,090USD ","60,800,000원", 
초동로켓,,"1,732,000USD ","205,168,000원", 
와일드우즈,,"339,984USD ",,250USD 
멋진승부,,"1,236,820USD ","140,481,000원", 
드림퓨처,,"612,935USD ",,"88,333USD "
선파이팅,,"1,570,380USD ",,0
천사의별,,"1,570,380USD ","157,452,000원", 
다이아별빛,,"339,984USD ","41,756,000원", 
영주스톤,,"396,254USD ",,400AUD 
패밀리호프,,"568,629,000JPY ","135,025,000원", 
킹오브킹즈,,"1,732,000USD ",,"189,416USD "
돌아온뽀빠이,,"1,031,596USD ",,"130,357USD "
에코빌,,"424,600USD ",,"66,445USD "
파워요트,,"326,400USD ",, 
빅트리플,,"1,304,800USD ",, 
빅토리메신저,,0AUD ,, 
땡큐보스,,"831,800USD ",,0
그린와트,,"1,243,500USD ",,0
올드아이리시브렛,,"583,280USD ",,"165,234USD "
빅리버,,"339,984USD ",,"58,090USD "
스트롱레드,,"254,672USD ",,0
케이엔원더풀,,"254,672USD ",,"81,671USD "
청산가세,"1,087,822,000원", ,"197,757,000원", 
해피뮤직,,"1,607,774USD ","62,256,000원","34,700USD "
클린업해피,,"1,101,924USD ",,"8,514USD "
제이에스캡틴,,"3,084,278USD ","34,500,000원", 
레이크스타,"1,861,967,000원", ,,"36,000CAD "
로드핑크,,"1,570,380USD ","125,768,000원", 
세찬나리,,"493,755USD ",,"54,248USD "
마이티고,,"748,000USD ",,"5,930USD "
멋진왕자,,"326,400USD ",, 
이럽션,,"297,000USD ",, 
오렌지스텝,,"922,180USD ",,"10,850USD "
프리맥스,,"748,000USD ",,"124,571USD "
디케이별찌,,"853,828USD ",,0USD 
파이팅나우,,"51,475USD ",,"34,878USD "
신용퀸데이,,"583,280USD ","141,392,000원", 
브라보과천,,"3,084,278USD ",,0
정문볼트,,"1,810,805USD ",,"22,272USD "
파라곤파워,,"2,054,434USD ",,"30,005USD "
삼포여걸,,"1,810,805USD ",,"15,760USD "
금아키튼,,"804,090USD ",,800USD 
머니실크,,"1,083,533USD ","73,023,000원", 
이스트챔프,,"1,503,825USD ","263,244,000원", 
야호골든캣,,"3,084,278USD ","41,740,000원", 
금희인디,,"205,617USD ","101,000,000원", 
원더풀글리터,,"4,941,513USD ",,"37,060USD "
샤인파이터,,"1,570,380USD ","396,701,000원", 
미라클이천,,"254,672USD ","87,390,000원", 
늘차오름,,"3,084,278USD ",,"61,125USD "
블루참,,"51,475USD ","648,176,000원", 
경부도령,"2,426,805,000원", ,"177,860,000원", 
피엔에스노랑,"233,137,000원", ,"16,800,000원", 
킹스데이,,"1,236,820USD ","112,430,000원", 
콘스티솔로,,"1,031,596USD ",,"244,195USD "
글로벌럭키,,"1,936,000USD ",,"24,749USD "
행복왕자,,"424,600USD ",,"26,734USD "
블루키톤,,"2,691,135USD ",,"7,962USD "
절예,,"3,670,790USD ",, 
장산탱크,,"3,924,648USD ",,"33,410USD "
인동샘,,"3,647,000USD ",,"209,081USD "
치투치투,,"597,800USD ",, 
디케이미르,,"2,691,135USD ",,0
로드란,,"1,503,825USD ","201,253,000원", 
한센초이스,,"1,810,805USD ",,"116,148USD "
송암플레이어,,"210,553USD ",,"87,758USD "
천향국색,,"804,090USD ","104,724,000원", 
보헤미안뮤직,,"1,607,774USD ",0원, 
쏘아라여장군,,"1,810,805USD ","214,985,000원", 
블랙실버,,"58,610USD ",,"80,592USD "
돌아온셀라,,"568,086USD ","137,172,000원", 
다크피스,,"3,084,278USD ",,0USD 
소서노레전드,,"583,280USD ","224,317,000원", 
일기비호,,"210,553USD ",,"4,203CAD "
천지여걸,,"274,382USD ","196,259,000원", 
울트라애니,,"51,475USD ","114,172,000원", 
프리티조이,,"51,475USD ",,"140,985USD "
클레이위너,,"1,810,805USD ",,0
베스트파티,,"170,072USD ",,"180,395USD "
율도장사,,"1,570,380USD ",,0USD 
한라명운,,"1,810,805USD ",,"79,331USD "
이스트원,,"568,086USD ",,880USD 
백산선더,,"114,300USD ",,"1,700AUD "
강서으뜸,,"1,810,805USD ",,"170,121USD "
대명솔라,,"1,503,825USD ","61,468,000원", 
패스트패션,,"51,475USD ",,"35,950USD "
스트롱캡틴,,"493,755USD ",,975AUD 
본위너,,"1,283,145USD ",,"31,270USD "
흰별,,"568,086USD ",,"2,340USD "
글로벌축제,,"1,570,380USD ","95,190,000원", 
햇살왕자,,"3,187,232USD ","74,648,000원", 
위드프렌드십,,"832,140USD ",,"109,202USD "
스페셜위너,,"568,629,000JPY ","17,025,000원", 
탐라킹,,"3,545,062USD ","148,460,000원", 
아멘다,,"1,732,000USD ","58,562,500원", 
센타포바,,"339,984USD ","266,851,000원", 
예스유캔,,"70,961,000JPY ","37,665,000원", 
메니블레이드,,"1,732,000USD ",,"62,397USD "
특별스타,,"578,302,000JPY ","181,834,000원", 
볼드샤이닝,,"480,001USD ","305,585,000원", 
로드킹,,"1,732,000USD ",,"33,710USD "
금비랑,,"1,732,000USD ","441,102,000원", 
문학조이,,"2,075,791USD ",,"61,766USD "
글로벌라인,,"1,570,380USD ",,0
히비키,,"1,732,000USD ",,0
초인마,,"1,732,000USD ","203,132,000원", 
용총,,"396,254USD ",,"61,125USD "
난초의고향,,"454,630USD ",,"7,800USD "
야호선샤인,,"1,610,604USD ",,"61,859USD "
황금소리,,"583,280USD ",,"49,036USD "
불멸의제왕,,"251,090USD ",,"77,670USD "
대쥬신,,"1,716,950USD ",,"111,226USD "
위대한전사,,"879,768USD ",,"4,595USD "
엉클오,,"811,760USD ",,623USD 
초코캔디,,"1,146,340USD ",,780USD 
문학쓰나미,,"1,146,340USD ",, 
오섬스마트,,"337,376USD ",,"106,340USD "
돌아온날리,,"301,500USD ",,244USD 
가온퀸,,"1,606,000USD ",,"189,055USD "
남촌아티스트,,"1,319,481USD ",,"79,860USD "
탭패션드,,"583,280USD ",,"51,158USD "
사려니윈,,"239,229USD ",,"3,650USD "
미스터포춘,,"1,570,380USD ","119,331,000원", 
우승하우스,,"500,435USD ",,"192,287USD "
해피보이,,"1,694,180USD ",,"41,330USD "
골드파티,,"794,855USD ",,"53,849USD "
금아매저스티,,"1,810,805USD ",,0
큐피드초이스,,"1,694,180USD ",,760USD 
안양레오파드,,"4,374,590USD ",,"1,715USD "
과천공주,,"687,967USD ",,"72,057USD "
