,자식마명,부마원,부마달러,모마원,모마달러
208,['화이트스톤'],,"70,961,000JPY ","24,332,000원", 
209,['캡틴브라보'],,"1,146,340USD ",,0 
210,['발레리나'],,"1,503,825USD ",,0 
211,['보고또보고'],,"583,280USD ",,"44,320USD "
212,['스마트시티'],,"1,083,533USD ","51,491,000원", 
213,['쿠레나이원'],,"3,545,062USD ",,0 
214,['정상킹덤'],,"3,307,278USD ",,"53,813CAD "
215,['모닝타이거'],,"2,281,645USD ",, 
216,['베스트스톰'],,"389,141USD ",,"159,877USD "
217,['런던의러닝'],,"3,187,232USD ","87,475,000원", 
218,['탑기'],,"1,083,533USD ","138,640,000원",0 
219,['본투글로리'],,"491,312USD ",,"78,783USD "
220,['에이스함성'],,"612,935USD ",,"29,760USD "
221,['스페셜스토리'],,"695,299USD ","133,790,000원", 
222,['다이아킬러'],,"254,672USD ",,431USD 
223,['플라잉캔디'],,"944,900USD ",,422USD 
224,['정상처럼'],,"3,044,000USD ",,"98,636USD "
225,['가온매직'],,"2,202,887USD ",,"189,055USD "
226,['러블리헬멧'],,"1,636,426USD ",, 
227,['럭키석포'],,"1,810,805USD ","254,715,000원", 
228,['리얼팩'],,"804,090USD ",,"36,360USD "
229,['드림포레'],,"3,090,101USD ",,"24,870USD "
230,['흥캡틴'],,"51,475USD ","235,154,000원", 
231,['빅페이스'],,"274,382USD ",,"16,290USD "
232,['골든스위치'],,0AUD ,,"33,455USD "
233,['월드특급'],"76,502,000원", ,"272,330,000원", 
234,['율소리'],,"996,330USD ",,782USD 
235,['플래시라이커'],,"274,382USD ",,"268,051USD "
236,['아테나브이'],"76,502,000원", ,"325,130,000원", 
237,['메니스톰'],,"612,935USD ","71,085,000원",0 
238,['프라우들리'],,"1,064,727USD ",,0 
239,['은혜파도'],,"254,672USD ",,0 
240,['라온스페셜'],,"1,236,820USD ",,"4,200USD "
241,['마이티붐'],,"251,090USD ",,"1,410USD "
242,['신의열매'],,"3,647,000USD ",,"7,980USD "
243,['티즈블랙'],,"804,090USD ",,"1,402USD "
244,['서울크라운'],,"568,086USD ",,0 
245,['청담컬링'],,"58,610USD ","11,500,000원", 
246,['레이디대로'],"2,426,805,000원", ,"92,242,000원", 
247,['용마루구'],,"172,705,000JPY ",,0 
248,['애니티즈'],,"254,672USD ",,"209,945USD "
249,['브이원'],,"3,084,278USD ","85,842,000원", 
250,['레이디럭키'],,"1,083,533USD ","52,281,000원", 
251,['미사일감동'],,"3,187,232USD ",,"17,760USD "
252,['에이스레전드'],,"2,435,343USD ",,"1,480USD "
253,['롱가이'],,"51,475USD ",,"2,200AUD "
254,['코리안펄'],"2,426,805,000원", ,"41,230,000원", 
255,['고웰'],,"612,935USD ","59,667,000원", 
256,['티즈시티'],,"254,672USD ",,"160,835USD "
257,['키스인더파크'],,"1,503,825USD ",,"3,310USD "
258,['스피드고'],,"172,705,000JPY ","105,693,000원", 
259,['유롱스타'],,"1,732,000USD ",,0 
